Type,Noun,Tags,Hex,Notes
DB,W911 Cream White,Uni Colors,#F6F3E6,Warm off-white
DB,W980 Platinum White,Uni Colors,#F4F5F0,Neutral architectural white
DB,W1000 Premium White,Uni Colors,#F4F5F0,High-opacity premium white
DB,W1001 Solid Premium White,Uni Colors,#F4F5F0,Through-color core white
DB,W1100 Alpine White,Uni Colors,#F2F2F2,Crisp pure white
DB,W1101 Solid Alpine White,Uni Colors,#F2F2F2,Through-color core alpine white
DB,W1200 Porcelain White,Uni Colors,#F7F7F7,Ultra-light cool white
DB,U104 Alabaster White,Uni Colors,#F2EAD8,Creamy soft white
DB,U107 Velvet Yellow,Uni Colors,#F7C36D,Muted sunshine yellow
DB,U108 Vanilla Yellow,Uni Colors,#F9E1B1,Soft pastel yellow
DB,U113 Cotton Beige,Uni Colors,#F1E9D9,Very light neutral beige
DB,U114 Brilliant Yellow,Uni Colors,#FFC800,Vibrant saturated yellow
DB,U131 Citrus Yellow,Uni Colors,#FCE300,Acidic bright yellow
DB,U140 Saffron Yellow,Uni Colors,#F3A400,Deep golden yellow
DB,U146 Maize Yellow,Uni Colors,#F1C37C,Warm muted yellow
DB,U156 Sand Beige,Uni Colors,#D1C7BA,Classic earthy beige
DB,U163 Curry Yellow,Uni Colors,#D09423,Spiced yellow accent
DB,U201 Pebble Grey,Uni Colors,#BDBEBD,Versatile mid-grey
DB,U216 Came Beige,Uni Colors,#F1ECE1,Lightest warm neutral
DB,U220 Soft Beige,Uni Colors,#E7DED0,Trending soft neutral
DB,U222 Crema Beige,Uni Colors,#F0E5D2,Warm cream neutral
DB,U311 Burgundy Red,Uni Colors,#5E212E,Dark wine red
DB,U321 China Red,Uni Colors,#B91F24,Classic bright red
DB,U323 Chili Red,Uni Colors,#9B1D22,Deep saturated red
DB,U325 Antique Rose,Uni Colors,#B58A8D,Dusty floral pink
DB,U330 Aubergine Purple,Uni Colors,#412A3D,Deep dark purple
DB,U332 Orange,Uni Colors,#F16522,Vibrant orange
DB,U335 Rusty Red,Uni Colors,#9A5A46,Terracotta earth tone
DB,U337 Lipstick Pink,Uni Colors,#C44766,Bold magenta-pink
DB,U340 Sorbet Orange,Uni Colors,#F29663,Soft peach orange
DB,U343 Fiery Red,Uni Colors,#C8161D,Intense bright red
DB,U350 Sienna Orange,Uni Colors,#A85E37,Burnt orange earth tone
DB,U363 Flamingo Pink,Uni Colors,#E298A8,Light playful pink
DB,U390 Indian Red,Uni Colors,#9E4A3B,Rich clay red
DB,U399 Garnet Red,Uni Colors,#7B2E31,Deep dark red
DB,U400 Powder Blue,Uni Colors,#C3D2E0,Soft pastel blue
DB,U404 Croisette Blue,Uni Colors,#58A1C5,Bright mid-blue
DB,U414 Turquoise Blue,Uni Colors,#00899F,Teal-leaning blue
DB,U420 Pastel Blue,Uni Colors,#B9C9D6,Light muted blue
DB,U430 Violet Blue,Uni Colors,#3D5889,Deep periwinkle blue
DB,U500 Glacier Blue,Uni Colors,#D7E3E8,Ultra-light ice blue
DB,U502 Misty Blue,Uni Colors,#9CAAB8,Desaturated denim blue
DB,U504 Tyrolean Blue,Uni Colors,#627B92,Grey-blue mountain tone
DB,U518 Ice Blue,Uni Colors,#CEDEE4,Pale cool blue
DB,U522 Horizon Blue,Uni Colors,#A2B5C3,Muted sky blue
DB,U525 Delft Blue,Uni Colors,#2B5E8E,Traditional ceramic blue
DB,U533 Polar Blue,Uni Colors,#749BB8,Crisp winter blue
DB,U540 Denim Blue,Uni Colors,#496179,Classic jean blue
DB,U560 Deep Sea Blue,Uni Colors,#29435C,Dark maritime blue
DB,U570 Midnight Blue,Uni Colors,#232E3D,Deep luxury navy
DB,U599 Indigo Blue,Uni Colors,#2C3A47,Dark saturated navy
DB,U600 May Green,Uni Colors,#79B443,Bright spring green
DB,U604 Reed Green,Uni Colors,#8A907D,Organic olive-grey
DB,U606 Forest Green,Uni Colors,#2A4134,Dark evergreen
DB,U608 Pistachio Green,Uni Colors,#BDD093,Light herbal green
DB,U617 Wasabi Green,Uni Colors,#A7B13F,Zesty yellow-green
DB,U619 Pastel Green,Uni Colors,#D3DAC2,Soft pale green
DB,U626 Kiwi Green,Uni Colors,#97C045,Vibrant fruit green
DB,U630 Lime Green,Uni Colors,#B2CC52,Acidic neon green
DB,U633 Turquoise Green,Uni Colors,#00837D,Deep teal green
DB,U636 Fjord Green,Uni Colors,#6B8E89,Muted Nordic green
DB,U638 Sage Green,Uni Colors,#8D9185,Herbal muted green
DB,U641 Alabaster Green,Uni Colors,#E4E8D6,Whitish-green neutral
DB,U646 Niagara Green,Uni Colors,#4B6B67,Dark teal-grey
DB,U650 Fern Green,Uni Colors,#6D8159,Natural leaf green
DB,U655 Emerald Green,Uni Colors,#005B3E,Deep jewel green
DB,U660 Leaf Green,Uni Colors,#619B53,Saturated bright green
DB,U665 Stone Green,Uni Colors,#85897B,Warm organic green
