Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","benjaminMoore","Benjamin Moore AF-5 Frostine","","","#eff2ec"
"DB","benjaminMoore","Benjamin Moore AF-10 Gardenia","","","#f4f1ea"
"DB","benjaminMoore","Benjamin Moore AF-15 Steam","","","#f1f0e7"
"DB","benjaminMoore","Benjamin Moore AF-20 Mascarpone","","","#f9f8e9"
"DB","benjaminMoore","Benjamin Moore AF-25 Paper","","","#f1f1e4"
"DB","benjaminMoore","Benjamin Moore AF-30 Deep","","","#efeddc"
"DB","benjaminMoore","Benjamin Moore AF-35 Vapor","","","#f0ede0"
"DB","benjaminMoore","Benjamin Moore AF-40 Lychee","","","#f6eddd"
"DB","benjaminMoore","Benjamin Moore AF-45 Collector's","","","#f2ebdd"
"DB","benjaminMoore","Benjamin Moore AF-50 Etiquette","","","#e6e1d6"
"DB","benjaminMoore","Benjamin Moore AF-55 Sonnet","","","#e4dcce"
"DB","benjaminMoore","Benjamin Moore AF-60 Peau","","","#e6dccf"
"DB","benjaminMoore","Benjamin Moore AF-65 Fossil","","","#e4decf"
"DB","benjaminMoore","Benjamin Moore AF-70 Battenberg","","","#eae6d1"
"DB","benjaminMoore","Benjamin Moore AF-75 Refined","","","#dfe0ce"
"DB","benjaminMoore","Benjamin Moore AF-80 Jute","","","#dad3bf"
"DB","benjaminMoore","Benjamin Moore AF-85 Frappe","","","#e8dcc4"
"DB","benjaminMoore","Benjamin Moore AF-90 Harmony","","","#decdb2"
"DB","benjaminMoore","Benjamin Moore AF-95 Hush","","","#d5cab0"
"DB","benjaminMoore","Benjamin Moore AF-100 Pashmina","","","#bcb3a2"
"DB","benjaminMoore","Benjamin Moore AF-105 Elk","","","#988669"
"DB","benjaminMoore","Benjamin Moore AF-110 Coriander","","","#958166"
"DB","benjaminMoore","Benjamin Moore AF-115 Lodge","","","#7e674e"
"DB","benjaminMoore","Benjamin Moore AF-120 Tamarind","","","#746147"
"DB","benjaminMoore","Benjamin Moore AF-125 Morrel","","","#b39779"
"DB","benjaminMoore","Benjamin Moore AF-130 Truffle","","","#c7b198"
"DB","benjaminMoore","Benjamin Moore AF-135 Interlude","","","#b9a38b"
"DB","benjaminMoore","Benjamin Moore AF-140 Pensive","","","#beab96"
"DB","benjaminMoore","Benjamin Moore AF-145 Kangaroo","","","#c0b299"
"DB","benjaminMoore","Benjamin Moore AF-150 Cotswold","","","#b6a796"
"DB","benjaminMoore","Benjamin Moore AF-155 Weimaraner","","","#a09383"
"DB","benjaminMoore","Benjamin Moore AF-160 Carob","","","#8d705e"
"DB","benjaminMoore","Benjamin Moore AF-165 Kona","","","#735742"
"DB","benjaminMoore","Benjamin Moore AF-170 French","","","#604e44"
