Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,RGB_R,RGB_G,RGB_B,RGB,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CMYK,CIE_L,CIE_A,CIE_B,CIE_LAB,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,arborite,S405 Black,#191919,0.21342250711191385,0,0,25,25,25,"[25, 25, 25]",0%,0%,0%,90%,"[0%, 0%, 0%, 90%]",8.76,0.00,0.00,"[8.76, 0.00, 0.00]",https://www.google.com/search?tbm=isch&q=arborite%20S405%20Black%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,arborite,S406 White,#F3F3F3,0.9641535001508272,0,0,243,243,243,"[243, 243, 243]",0%,0%,0%,5%,"[0%, 0%, 0%, 5%]",95.84,0.00,0.00,"[95.84, 0.00, 0.00]",https://www.google.com/search?tbm=isch&q=arborite%20S406%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,arborite,Saguenay,#D3D3D3,0.8668630753134526,0,0,211,211,211,"[211, 211, 211]",0%,0%,0%,17%,"[0%, 0%, 0%, 17%]",84.56,0.00,0.00,"[84.56, 0.00, 0.00]",https://www.arborite.com/catalog/product/view/id/4208/s/saguenay-fcc33def64595d6dd049e11dfdb495b4/category/222/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,arborite,Sand,#C2B280,0.7650061356297883,0.06910896441059818,92.42962654669384,194,178,128,"[194, 178, 128]",0%,8%,34%,24%,"[0%, 8%, 34%, 24%]",73.04,0.43,27.81,"[73.04, 0.43, 27.81]",https://www.arborite.com/catalog/product/view/id/4195/s/sand-3f87074a85c5959e25a7e5ae88ea1217/category/222/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,arborite,S575 Ultra White,#FFFFFF,1,0,0,255,255,255,"[255, 255, 255]",0%,0%,0%,0%,"[0%, 0%, 0%, 0%]",100.00,0.00,0.00,"[100.00, 0.00, 0.00]",https://www.arborite.com/standard-collection/solids/ultra-white-s575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,arborite,S578 Portobello,#8B8178,0.6094648438281659,0.018090191313049446,64.50300781413875,139,129,120,"[139, 129, 120]",0%,7%,14%,45%,"[0%, 7%, 14%, 45%]",54.68,2.71,6.33,"[54.68, 2.71, 6.33]",https://www.arborite.com/standard-collection/solids/portobello-s578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,arborite,S579 Suede,#A08C73,0.6514037360510511,0.043000941052718594,73.13662569639877,160,140,115,"[160, 140, 115]",0%,12%,28%,37%,"[0%, 12%, 28%, 37%]",59.58,4.85,16.32,"[59.58, 4.85, 16.32]",https://www.arborite.com/standard-collection/solids/suede-s579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,arborite,S582 Tangelo,#F94D00,0.6577493965674382,0.2180191402443941,37.43469268351839,249,77,0,"[249, 77, 0]",0%,69%,100%,2%,"[0%, 69%, 100%, 2%]",58.41,64.68,70.04,"[58.41, 64.68, 70.04]",https://www.arborite.com/standard-collection/solids/tangelo-s582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,arborite,S576 Galena,#808080,0.5998708056221469,0,0,128,128,128,"[128, 128, 128]",0%,0%,0%,50%,"[0%, 0%, 0%, 50%]",53.59,0.00,0.00,"[53.59, 0.00, 0.00]",https://www.arborite.com/standard-collection/solids/galena-s576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,arborite,S577 Graphite,#383838,0.3406970568972224,0,0,56,56,56,"[56, 56, 56]",0%,0%,0%,78%,"[0%, 0%, 0%, 78%]",23.52,0.00,0.00,"[23.52, 0.00, 0.00]",https://www.arborite.com/standard-collection/solids/graphite-s577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
