Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,RGB_R,RGB_G,RGB_B,RGB,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CMYK,CIE_L,CIE_A,CIE_B,CIE_LAB,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,behr,Behr 100A-1 Barely Pink,#f9ecfc,0.957922801523047,0.02524843214320721,319.9582313990379,249,236,252,"[249, 236, 252]",1%,6%,0%,1%,"[1%, 6%, 0%, 1%]",94.79,6.63,-6.08,"[94.79, 6.63, -6.08]",https://www.google.com/search?tbm=isch&q=behr%20Behr%20100A-1%20Barely%20Pink%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,behr,Behr 100A-2 Be Mine,#f8e0fa,0.9338012298841544,0.04304908448304837,323.5985013972187,248,224,250,"[248, 224, 250]",1%,10%,0%,2%,"[1%, 10%, 0%, 2%]",91.74,11.85,-9.51,"[91.74, 11.85, -9.51]",https://www.google.com/search?tbm=isch&q=behr%20Behr%20100A-2%20Be%20Mine%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,behr,Behr 100A-3 Scented Valentine,#f8cef9,0.9003218070912863,0.07323357677158486,325.46939308403046,248,206,249,"[248, 206, 249]",0%,17%,0%,2%,"[0%, 17%, 0%, 2%]",87.42,20.59,-15.36,"[87.42, 20.59, -15.36]",https://www.google.com/search?tbm=isch&q=behr%20Behr%20100A-3%20Scented%20Valentine%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,behr,Behr 100B-4 Pink Chintz,#f8b5fa,0.8569273327157982,0.11776879707045725,325.60511385601296,248,181,250,"[248, 181, 250]",1%,28%,0%,2%,"[1%, 28%, 0%, 2%]",81.73,33.20,-24.40,"[81.73, 33.20, -24.40]",https://www.google.com/search?tbm=isch&q=behr%20Behr%20100B-4%20Pink%20Chintz%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,behr,Behr 100B-5 Springtime Bloom,#e46fec,0.7235183428686663,0.20815427707426076,324.9909333363803,228,111,236,"[228, 111, 236]",3%,53%,0%,7%,"[3%, 53%, 0%, 7%]",64.76,58.77,-43.08,"[64.76, 58.77, -43.08]",https://www.google.com/search?tbm=isch&q=behr%20Behr%20100B-5%20Springtime%20Bloom%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,behr,Behr 100B-6 Fuchsia Kiss,#cf4ddf,0.6506608385834984,0.23348324661226708,323.16594439472976,207,77,223,"[207, 77, 223]",7%,65%,0%,13%,"[7%, 65%, 0%, 13%]",55.76,65.51,-50.20,"[55.76, 65.51, -50.20]",https://www.google.com/search?tbm=isch&q=behr%20Behr%20100B-6%20Fuchsia%20Kiss%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,behr,Behr 100B-7 Hot Pink,#a623a6,0.5227434303137692,0.2151999710286679,328.1361929075156,166,35,166,"[166, 35, 166]",0%,79%,0%,35%,"[0%, 79%, 0%, 35%]",41.22,62.25,-40.71,"[41.22, 62.25, -40.71]",https://www.google.com/search?tbm=isch&q=behr%20Behr%20100B-7%20Hot%20Pink%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,behr,Behr 100C-1 Cupid Arrow,#f9e3f6,0.93904822762101,0.03453694972049149,330.297707184586,249,227,246,"[249, 227, 246]",0%,9%,1%,2%,"[0%, 9%, 1%, 2%]",92.46,10.19,-6.37,"[92.46, 10.19, -6.37]",https://www.google.com/search?tbm=isch&q=behr%20Behr%20100C-1%20Cupid%20Arrow%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,behr,Behr 100C-2 Cool Pink,#eacdea,0.8812271901805977,0.05020596431452948,326.03653449888884,234,205,234,"[234, 205, 234]",0%,12%,0%,8%,"[0%, 12%, 0%, 8%]",85.53,14.20,-10.42,"[85.53, 14.20, -10.42]",https://www.google.com/search?tbm=isch&q=behr%20Behr%20100C-2%20Cool%20Pink%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,behr,Behr 100C-3 Birthday Candle,#d09bd0,0.7565565457918632,0.09464511022429258,326.48462059021176,208,155,208,"[208, 155, 208]",0%,25%,0%,18%,"[0%, 25%, 0%, 18%]",70.42,26.90,-19.21,"[70.42, 26.90, -19.21]",https://www.google.com/search?tbm=isch&q=behr%20Behr%20100C-3%20Birthday%20Candle%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
