Type,Adjective,Noun,ERP_Code,Note,HEX
DB,benjaminMoore,Benjamin Moore AF-5 Frostine,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-5%20Frostine%20color%20swatch,https://placehold.co/400x400/eff2ec/ffffff.png?text=Benjamin%20Moore%20AF-5%20Frostine,#eff2ec
DB,benjaminMoore,Benjamin Moore AF-10 Gardenia,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-10%20Gardenia%20color%20swatch,https://placehold.co/400x400/f4f1ea/ffffff.png?text=Benjamin%20Moore%20AF-10%20Gardenia,#f4f1ea
DB,benjaminMoore,Benjamin Moore AF-15 Steam,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-15%20Steam%20color%20swatch,https://placehold.co/400x400/f1f0e7/ffffff.png?text=Benjamin%20Moore%20AF-15%20Steam,#f1f0e7
DB,benjaminMoore,Benjamin Moore AF-20 Mascarpone,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-20%20Mascarpone%20color%20swatch,https://placehold.co/400x400/f9f8e9/ffffff.png?text=Benjamin%20Moore%20AF-20%20Mascarpone,#f9f8e9
DB,benjaminMoore,Benjamin Moore AF-25 Paper,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-25%20Paper%20color%20swatch,https://placehold.co/400x400/f1f1e4/ffffff.png?text=Benjamin%20Moore%20AF-25%20Paper,#f1f1e4
DB,benjaminMoore,Benjamin Moore AF-30 Deep,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-30%20Deep%20color%20swatch,https://placehold.co/400x400/efeddc/ffffff.png?text=Benjamin%20Moore%20AF-30%20Deep,#efeddc
DB,benjaminMoore,Benjamin Moore AF-35 Vapor,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-35%20Vapor%20color%20swatch,https://placehold.co/400x400/f0ede0/ffffff.png?text=Benjamin%20Moore%20AF-35%20Vapor,#f0ede0
DB,benjaminMoore,Benjamin Moore AF-40 Lychee,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-40%20Lychee%20color%20swatch,https://placehold.co/400x400/f6eddd/ffffff.png?text=Benjamin%20Moore%20AF-40%20Lychee,#f6eddd
DB,benjaminMoore,Benjamin Moore AF-45 Collector's,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-45%20Collector's%20color%20swatch,https://placehold.co/400x400/f2ebdd/ffffff.png?text=Benjamin%20Moore%20AF-45%20Collector's,#f2ebdd
DB,benjaminMoore,Benjamin Moore AF-50 Etiquette,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-50%20Etiquette%20color%20swatch,https://placehold.co/400x400/e6e1d6/ffffff.png?text=Benjamin%20Moore%20AF-50%20Etiquette,#e6e1d6
DB,benjaminMoore,Benjamin Moore AF-55 Sonnet,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-55%20Sonnet%20color%20swatch,https://placehold.co/400x400/e4dcce/ffffff.png?text=Benjamin%20Moore%20AF-55%20Sonnet,#e4dcce
DB,benjaminMoore,Benjamin Moore AF-60 Peau,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-60%20Peau%20color%20swatch,https://placehold.co/400x400/e6dccf/ffffff.png?text=Benjamin%20Moore%20AF-60%20Peau,#e6dccf
DB,benjaminMoore,Benjamin Moore AF-65 Fossil,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-65%20Fossil%20color%20swatch,https://placehold.co/400x400/e4decf/ffffff.png?text=Benjamin%20Moore%20AF-65%20Fossil,#e4decf
DB,benjaminMoore,Benjamin Moore AF-70 Battenberg,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-70%20Battenberg%20color%20swatch,https://placehold.co/400x400/eae6d1/ffffff.png?text=Benjamin%20Moore%20AF-70%20Battenberg,#eae6d1
DB,benjaminMoore,Benjamin Moore AF-75 Refined,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-75%20Refined%20color%20swatch,https://placehold.co/400x400/dfe0ce/ffffff.png?text=Benjamin%20Moore%20AF-75%20Refined,#dfe0ce
DB,benjaminMoore,Benjamin Moore AF-80 Jute,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-80%20Jute%20color%20swatch,https://placehold.co/400x400/dad3bf/ffffff.png?text=Benjamin%20Moore%20AF-80%20Jute,#dad3bf
DB,benjaminMoore,Benjamin Moore AF-85 Frappe,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-85%20Frappe%20color%20swatch,https://placehold.co/400x400/e8dcc4/ffffff.png?text=Benjamin%20Moore%20AF-85%20Frappe,#e8dcc4
DB,benjaminMoore,Benjamin Moore AF-90 Harmony,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-90%20Harmony%20color%20swatch,https://placehold.co/400x400/decdb2/ffffff.png?text=Benjamin%20Moore%20AF-90%20Harmony,#decdb2
DB,benjaminMoore,Benjamin Moore AF-95 Hush,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-95%20Hush%20color%20swatch,https://placehold.co/400x400/d5cab0/ffffff.png?text=Benjamin%20Moore%20AF-95%20Hush,#d5cab0
