Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,benjaminmoore,Benjamin Moore AF-5 Frostine,#eff2ec,0.9572033250938731,0.008551917648194518,128.5604418245731,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-5%20Frostine%20color%20swatch,https://placehold.co/400x400/eff2ec/ffffff.png?text=Benjamin%20Moore%20AF-5%20Frostine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore AF-10 Gardenia,#f4f1ea,0.9585308013817997,0.009844536171332088,87.47147482777712,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-10%20Gardenia%20color%20swatch,https://placehold.co/400x400/f4f1ea/ffffff.png?text=Benjamin%20Moore%20AF-10%20Gardenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore AF-15 Steam,#f1f0e7,0.9534364379294445,0.011983181680317917,101.4846524142805,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-15%20Steam%20color%20swatch,https://placehold.co/400x400/f1f0e7/ffffff.png?text=Benjamin%20Moore%20AF-15%20Steam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore AF-20 Mascarpone,#f9f8e9,0.9758566598546161,0.01974446673331085,103.66137045203129,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-20%20Mascarpone%20color%20swatch,https://placehold.co/400x400/f9f8e9/ffffff.png?text=Benjamin%20Moore%20AF-20%20Mascarpone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore AF-25 Paper,#f1f1e4,0.9546112175888966,0.017191690051078384,106.7208671266859,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-25%20Paper%20color%20swatch,https://placehold.co/400x400/f1f1e4/ffffff.png?text=Benjamin%20Moore%20AF-25%20Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore AF-30 Deep,#efeddc,0.943072676962893,0.02260799012622339,101.3551340247136,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-30%20Deep%20color%20swatch,https://placehold.co/400x400/efeddc/ffffff.png?text=Benjamin%20Moore%20AF-30%20Deep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore AF-35 Vapor,#f0ede0,0.9448923102700918,0.017549409912089625,96.10870749616896,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-35%20Vapor%20color%20swatch,https://placehold.co/400x400/f0ede0/ffffff.png?text=Benjamin%20Moore%20AF-35%20Vapor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore AF-40 Lychee,#f6eddd,0.9488609327371205,0.02332917658672573,82.12079745381902,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-40%20Lychee%20color%20swatch,https://placehold.co/400x400/f6eddd/ffffff.png?text=Benjamin%20Moore%20AF-40%20Lychee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore AF-45 Collector's,#f2ebdd,0.9417516483063906,0.020087542680301957,84.59053062258823,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-45%20Collector's%20color%20swatch,https://placehold.co/400x400/f2ebdd/ffffff.png?text=Benjamin%20Moore%20AF-45%20Collector's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore AF-50 Etiquette,#e6e1d6,0.9106447024344777,0.01573698056479526,86.4284824430398,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%20AF-50%20Etiquette%20color%20swatch,https://placehold.co/400x400/e6e1d6/ffffff.png?text=Benjamin%20Moore%20AF-50%20Etiquette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
