Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,cuttingEdge,Winter SS Hickory,#8a7461,0.5740124551499292,0.039002587078524546,62.31684642405685,,https://i0.wp.com/cuttingedgeinc.ca/wp-content/uploads/2024/11/Winter-Hickory-000206822-SS.jpg?fit=810%2C810&ssl=1,Wood Stains,ST (Satin),,V3 (Cathedral Grain),T4 (EIR/Natural),,D65,10,M1,2026-06-29T19:46:11.826Z,Nix Spectro L,8.08032244e-2,1.00117868e-1,1.12515357e-1,1.18847802e-1,1.23353678e-1,1.27139573e-1,1.30354561e-1,1.33274326e-1,1.37111786e-1,1.42409059e-1,1.48456645e-1,1.54383892e-1,1.60233736e-1,1.65500832e-1,1.70158216e-1,1.75796998e-1,1.85354537e-1,1.96959382e-1,2.06177932e-1,2.15111712e-1,2.22840947e-1,2.30571577e-1,2.38139698e-1,2.42742375e-1,2.46389985e-1,2.51834947e-1,2.56708637e-1,2.61809123e-1,2.66373873e-1,2.70577794e-1,2.74003124e-1,"[0.0808032244,0.100117868,0.112515357,0.118847802,0.123353678,0.127139573,0.130354561,0.133274326,0.137111786,0.142409059,0.148456645,0.154383892,0.160233736,0.165500832,0.170158216,0.175796998,0.185354537,0.196959382,0.206177932,0.215111712,0.222840947,0.230571577,0.238139698,0.242742375,0.246389985,0.251834947,0.256708637,0.261809123,0.266373873,0.270577794,0.274003124]"
DB,cuttingEdge,Brandy SS Hickory,#83513e,0.4875621440435701,0.07423529417300419,40.89113636643185,,,Wood Stains,ST (Satin),,V3 (Cathedral Grain),T4 (EIR/Natural),,D65,10,M1,2026-06-29T19:52:00.683Z,Nix Spectro L,3.71530682e-2,4.80807103e-2,5.31972282e-2,5.47655389e-2,5.52497692e-2,5.52987210e-2,5.51599517e-2,5.52245528e-2,5.62446862e-2,5.84614500e-2,6.11597203e-2,6.35761276e-2,6.68736428e-2,7.10718639e-2,7.64410570e-2,8.45810488e-2,9.74562272e-2,1.13939969e-1,1.32507905e-1,1.57565731e-1,1.79595479e-1,1.95335513e-1,2.06175441e-1,2.12874058e-1,2.19493821e-1,2.28882825e-1,2.38167155e-1,2.47983596e-1,2.57224572e-1,2.65679759e-1,2.72715682e-1,"[0.0371530682,0.0480807103,0.0531972282,0.0547655389,0.0552497692,0.055298721,0.0551599517,0.0552245528,0.0562446862,0.05846145,0.0611597203,0.0635761276,0.0668736428,0.0710718639,0.076441057,0.0845810488,0.0974562272,0.113939969,0.132507905,0.157565731,0.179595479,0.195335513,0.206175441,0.212874058,0.219493821,0.228882825,0.238167155,0.247983596,0.257224572,0.265679759,0.272715682]"
DB,cuttingEdge,Maple Arcane SS White Oak,#2f2c2b,0.2942740000135166,0.0051594886597195,37.70942538508314,,https://i0.wp.com/cuttingedgeinc.ca/wp-content/uploads/2024/11/Maple-Arcane-Rift-Cut-White-Oak-000206932-SS.jpg?fit=810%2C810&ssl=1,Wood Stains,ST (Satin),,V2 (Straight Grain),T4 (EIR/Natural),Natural Maple,D65,10,M1,2026-07-02T14:44:05.675Z,Nix Spectro L,6.53732950e-3,1.75619844e-2,2.49992810e-2,2.70712413e-2,2.65951224e-2,2.47298539e-2,2.25816600e-2,2.06517175e-2,1.99473947e-2,2.30593383e-2,2.82846212e-2,3.00563004e-2,2.75668010e-2,2.44120825e-2,2.16033354e-2,1.91714995e-2,1.95689179e-2,2.54919127e-2,3.30226608e-2,3.54749121e-2,3.15590084e-2,2.26270646e-2,1.45740567e-2,1.33972192e-2,1.96399406e-2,3.33252702e-2,5.27802788e-2,7.54129857e-2,9.73153487e-2,1.16938801e-1,1.32378830e-1,"[0.0065373295,0.0175619844,0.024999281,0.0270712413,0.0265951224,0.0247298539,0.02258166,0.0206517175,0.0199473947,0.0230593383,0.0282846212,0.0300563004,0.027566801,0.0244120825,0.0216033354,0.0191714995,0.0195689179,0.0254919127,0.0330226608,0.0354749121,0.0315590084,0.0226270646,0.0145740567,0.0133972192,0.0196399406,0.0333252702,0.0527802788,0.0754129857,0.0973153487,0.116938801,0.13237883]"
DB,cuttingEdge,Maple Arcane SS Hickory,#2c292a,0.2854935212414662,0.00466242781072037,353.9138889747089,,https://i0.wp.com/cuttingedgeinc.ca/wp-content/uploads/2024/11/Maple-Arcane-Hickory-000206932-SS.jpg?fit=810%2C810&ssl=1,Wood Stains,ST (Satin),,V3 (Cathedral Grain),T4 (EIR/Natural),Natural Maple,D65,10,M1,2026-07-02T15:03:23.038Z,Nix Spectro L,1.79354351e-2,2.59963445e-2,2.92987198e-2,2.91178819e-2,2.70177133e-2,2.38864806e-2,2.08258286e-2,1.83531091e-2,1.74183374e-2,2.05975581e-2,2.60831427e-2,2.78297864e-2,2.51971014e-2,2.19166730e-2,1.91367004e-2,1.69062618e-2,1.75927425e-2,2.39159595e-2,3.17029823e-2,3.42357039e-2,2.99816404e-2,2.03812893e-2,1.18126802e-2,1.00446859e-2,1.49717679e-2,2.66061898e-2,4.33310434e-2,6.20425865e-2,7.92280167e-2,9.44644824e-2,1.05984069e-1,"[0.0179354351,0.0259963445,0.0292987198,0.0291178819,0.0270177133,0.0238864806,0.0208258286,0.0183531091,0.0174183374,0.0205975581,0.0260831427,0.0278297864,0.0251971014,0.021916673,0.0191367004,0.0169062618,0.0175927425,0.0239159595,0.0317029823,0.0342357039,0.0299816404,0.0203812893,0.0118126802,0.0100446859,0.0149717679,0.0266061898,0.0433310434,0.0620425865,0.0792280167,0.0944644824,0.105984069]"
DB,cuttingEdge,Bison SS Hickory,#6c5644,0.46989656585517403,0.04007793255736634,59.27863868254889,,https://i0.wp.com/cuttingedgeinc.ca/wp-content/uploads/2024/11/Bison-Hickory-000206824-SS.jpg?fit=810%2C810&ssl=1,Wood Stains,ST (Satin),,V3 (Cathedral Grain),T4 (EIR/Natural),,D65,10,M1,2026-07-02T15:05:34.243Z,Nix Spectro L,3.45465247e-2,4.58736382e-2,5.38224541e-2,5.79439968e-2,6.09701529e-2,6.32633016e-2,6.50172904e-2,6.65404439e-2,6.85210690e-2,7.13543057e-2,7.49492168e-2,7.89409637e-2,8.30006823e-2,8.67302686e-2,9.00186360e-2,9.40599471e-2,1.00715411e-1,1.08585474e-1,1.14620750e-1,1.20342304e-1,1.25959252e-1,1.32634756e-1,1.39554444e-1,1.44103223e-1,1.48099661e-1,1.53543288e-1,1.58841670e-1,1.64360493e-1,1.69342017e-1,1.73872101e-1,1.77574581e-1,"[0.0345465247,0.0458736382,0.0538224541,0.0579439968,0.0609701529,0.0632633016,0.0650172904,0.0665404439,0.068521069,0.0713543057,0.0749492168,0.0789409637,0.0830006823,0.0867302686,0.090018636,0.0940599471,0.100715411,0.108585474,0.11462075,0.120342304,0.125959252,0.132634756,0.139554444,0.144103223,0.148099661,0.153543288,0.15884167,0.164360493,0.169342017,0.173872101,0.177574581]"
DB,cuttingEdge,Bison SS White oak,#6d5340,0.4647190838819486,0.045487915933893765,58.87668297739094,,https://i0.wp.com/cuttingedgeinc.ca/wp-content/uploads/2024/11/Bison-Rift-Cut-White-Oak-000206824-SS.jpg?fit=810%2C810&ssl=1,Wood Stains,ST (Satin),,V2 (Straight Grain),T4 (EIR/Natural),Natural Oak,D65,10,M1,2026-07-02T15:11:50.201Z,Nix Spectro L,1.11704650e-2,3.54462288e-2,5.20527110e-2,5.66586308e-2,5.64673409e-2,5.53299069e-2,5.48086874e-2,5.51206820e-2,5.78486100e-2,6.55454941e-2,7.50487000e-2,8.11758518e-2,8.29410344e-2,8.36139604e-2,8.41528773e-2,8.54734510e-2,9.08005312e-2,1.01987545e-1,1.14113146e-1,1.20599161e-1,1.23001455e-1,1.23256293e-1,1.23851177e-1,1.30780835e-1,1.50468737e-1,1.84539077e-1,2.29001620e-1,2.83766717e-1,3.41598445e-1,3.94550765e-1,4.39268798e-1,"[0.011170465,0.0354462288,0.052052711,0.0566586308,0.0564673409,0.0553299069,0.0548086874,0.055120682,0.05784861,0.0655454941,0.0750487,0.0811758518,0.0829410344,0.0836139604,0.0841528773,0.085473451,0.0908005312,0.101987545,0.114113146,0.120599161,0.123001455,0.123256293,0.123851177,0.130780835,0.150468737,0.184539077,0.22900162,0.283766717,0.341598445,0.394550765,0.439268798]"
DB,cuttingEdge,Bison SS Maple,#665344,0.4572291075002616,0.03459753805286977,59.56560771248695,,https://i0.wp.com/cuttingedgeinc.ca/wp-content/uploads/2024/11/Bison-Maple-000206824-SS.jpg?fit=810%2C810&ssl=1,Wood Stains,ST (Satin),,V3 (Cathedral Grain),T4 (EIR/Natural),Natural Maple,D65,10,M1,2026-07-02T15:14:47.361Z,Nix Spectro L,1.36050301e-2,3.94428782e-2,5.78165263e-2,6.30619511e-2,6.29805833e-2,6.17786773e-2,6.09560296e-2,6.06839560e-2,6.25986293e-2,6.94081947e-2,7.82807991e-2,8.37840125e-2,8.45471323e-2,8.41257513e-2,8.35838348e-2,8.34471419e-2,8.67993280e-2,9.62587729e-2,1.07640137e-1,1.13083796e-1,1.13237537e-1,1.09435296e-1,1.05520864e-1,1.09900753e-1,1.28478456e-1,1.62119633e-1,2.07072014e-1,2.63310415e-1,3.23354155e-1,3.78372711e-1,4.24886632e-1,"[0.0136050301,0.0394428782,0.0578165263,0.0630619511,0.0629805833,0.0617786773,0.0609560296,0.060683956,0.0625986293,0.0694081947,0.0782807991,0.0837840125,0.0845471323,0.0841257513,0.0835838348,0.0834471419,0.086799328,0.0962587729,0.107640137,0.113083796,0.113237537,0.109435296,0.105520864,0.109900753,0.128478456,0.162119633,0.207072014,0.263310415,0.323354155,0.378372711,0.424886632]"
DB,cuttingEdge,Winter SS Maple,#827264,0.5630601473904884,0.028870216276896263,62.45918501537187,,https://i0.wp.com/cuttingedgeinc.ca/wp-content/uploads/2024/11/Winter-Maple-000206822-SS-1.jpg?fit=810%2C810&ssl=1,Wood Stains,ST (Satin),,V3 (Cathedral Grain),T4 (EIR/Natural),Natural Maple,D65,10,M1,2026-07-02T15:16:59.833Z,Nix Spectro L,9.66424644e-2,1.13954934e-1,1.23470335e-1,1.27936798e-1,1.30813600e-1,1.33355850e-1,1.35592625e-1,1.37658852e-1,1.40640107e-1,1.44830462e-1,1.49543256e-1,1.53769785e-1,1.57850459e-1,1.61494663e-1,1.64830086e-1,1.68881392e-1,1.75908691e-1,1.84669688e-1,1.91818881e-1,1.98616692e-1,2.03864965e-1,2.08312133e-1,2.12450504e-1,2.14766690e-1,2.16435537e-1,2.19461888e-1,2.21842253e-1,2.24328455e-1,2.26534250e-1,2.28620920e-1,2.30290768e-1,"[0.0966424644,0.113954934,0.123470335,0.127936798,0.1308136,0.13335585,0.135592625,0.137658852,0.140640107,0.144830462,0.149543256,0.153769785,0.157850459,0.161494663,0.164830086,0.168881392,0.175908691,0.184669688,0.191818881,0.198616692,0.203864965,0.208312133,0.212450504,0.21476669,0.216435537,0.219461888,0.221842253,0.224328455,0.22653425,0.22862092,0.230290768]"
DB,cuttingEdge,Winter SS White Oak,#7f6c5d,0.5456365262266132,0.03321919872637046,61.368494516546605,,https://i0.wp.com/cuttingedgeinc.ca/wp-content/uploads/2024/11/Winter-Rift-Cut-White-Oak-000206822-SS.jpg?fit=810%2C810&ssl=1,Wood Stains,ST (Satin),,V2 (Straight Grain),T4 (EIR/Natural),Natural Oak,D65,10,M1,2026-07-02T15:18:14.869Z,Nix Spectro L,7.66018748e-2,9.32367250e-2,1.03313811e-1,1.08275868e-1,1.11662728e-1,1.14523977e-1,1.17035431e-1,1.19408576e-1,1.22697777e-1,1.27335928e-1,1.32325065e-1,1.36566246e-1,1.40519971e-1,1.44074127e-1,1.47306874e-1,1.51370069e-1,1.58677009e-1,1.67916712e-1,1.75393736e-1,1.82471639e-1,1.88506341e-1,1.94602120e-1,2.00696301e-1,2.04556969e-1,2.07880649e-1,2.12944409e-1,2.17661196e-1,2.22603706e-1,2.27054980e-1,2.31142464e-1,2.34452748e-1,"[0.0766018748,0.093236725,0.103313811,0.108275868,0.111662728,0.114523977,0.117035431,0.119408576,0.122697777,0.127335928,0.132325065,0.136566246,0.140519971,0.144074127,0.147306874,0.151370069,0.158677009,0.167916712,0.175393736,0.182471639,0.188506341,0.19460212,0.200696301,0.204556969,0.207880649,0.212944409,0.217661196,0.222603706,0.22705498,0.231142464,0.234452748]"
DB,cuttingEdge,Brandy SS White oak,#794a37,0.45791223463114883,0.07045633378959786,42.507059740228385,,,Wood Stains,ST (Satin),,V2 (Straight Grain),T4 (EIR/Natural),Natural Oak,D65,10,M1,2026-07-02T15:19:57.449Z,Nix Spectro L,1.77085500e-2,2.91390743e-2,3.72726284e-2,4.10083227e-2,4.33676444e-2,4.47598644e-2,4.54450227e-2,4.58500288e-2,4.66840856e-2,4.83767800e-2,5.04666060e-2,5.24014324e-2,5.50558850e-2,5.85082002e-2,6.28781863e-2,6.95861883e-2,8.06373119e-2,9.50080186e-2,1.11002205e-1,1.32049020e-1,1.49979055e-1,1.62109399e-1,1.70115906e-1,1.75136691e-1,1.80419573e-1,1.88254714e-1,1.96352342e-1,2.05233142e-1,2.13780305e-1,2.21579581e-1,2.28041682e-1,"[0.01770855,0.0291390743,0.0372726284,0.0410083227,0.0433676444,0.0447598644,0.0454450227,0.0458500288,0.0466840856,0.04837678,0.050466606,0.0524014324,0.055055885,0.0585082002,0.0628781863,0.0695861883,0.0806373119,0.0950080186,0.111002205,0.13204902,0.149979055,0.162109399,0.170115906,0.175136691,0.180419573,0.188254714,0.196352342,0.205233142,0.213780305,0.221579581,0.228041682]"
