Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,RGB_R,RGB_G,RGB_B,RGB,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CMYK,CIE_L,CIE_A,CIE_B,CIE_LAB,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,dulux,Dulux/Dutch DCP-0004 Child of Heaven,#f0ece1,0.9431883580588186,0.015287494265413539,90.19369802021856,240,236,225,"[240, 236, 225]",0%,2%,6%,6%,"[0%, 2%, 6%, 6%]",93.49,-0.01,5.86,"[93.49, -0.01, 5.86]",https://www.google.com/search?tbm=isch&q=dulux%20Dulux%2FDutch%20DCP-0004%20Child%20of%20Heaven%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,dulux,Dulux/Dutch DCP-0251 Alchemy,#eed9ba,0.8945469929540202,0.047225265235734254,77.60730143461046,238,217,186,"[238, 217, 186]",0%,9%,22%,7%,"[0%, 9%, 22%, 7%]",87.84,3.97,18.12,"[87.84, 3.97, 18.12]",https://www.google.com/search?tbm=isch&q=dulux%20Dulux%2FDutch%20DCP-0251%20Alchemy%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,dulux,Dulux/Dutch DCP-1001 Cheddar Corn,#f5dbc2,0.9063581234064068,0.04409335221446322,66.1126333964296,245,219,194,"[245, 219, 194]",0%,11%,21%,4%,"[0%, 11%, 21%, 4%]",89.10,6.45,15.81,"[89.10, 6.45, 15.81]",https://www.google.com/search?tbm=isch&q=dulux%20Dulux%2FDutch%20DCP-1001%20Cheddar%20Corn%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,dulux,Dulux/Dutch DCP-1057 Pink Satin,#f4d0c2,0.8843817427532327,0.045009048651319744,42.419848574316234,244,208,194,"[244, 208, 194]",0%,15%,20%,4%,"[0%, 15%, 20%, 4%]",86.31,11.47,11.92,"[86.31, 11.47, 11.92]",https://www.google.com/search?tbm=isch&q=dulux%20Dulux%2FDutch%20DCP-1057%20Pink%20Satin%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,dulux,Dulux/Dutch DCP-1009 Bedtime Story,#e3bea4,0.8270315695628631,0.055324803912959596,56.95246263527861,227,190,164,"[227, 190, 164]",0%,16%,28%,11%,"[0%, 16%, 28%, 11%]",79.76,10.86,18.39,"[79.76, 10.86, 18.39]",https://www.google.com/search?tbm=isch&q=dulux%20Dulux%2FDutch%20DCP-1009%20Bedtime%20Story%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,dulux,Dulux/Dutch DCP-0030 Lady Nicole,#ddddd5,0.8953123000933817,0.010799466557954128,106.51276882041213,221,221,213,"[221, 221, 213]",0%,0%,4%,13%,"[0%, 0%, 4%, 13%]",87.95,-1.05,3.95,"[87.95, -1.05, 3.95]",https://www.google.com/search?tbm=isch&q=dulux%20Dulux%2FDutch%20DCP-0030%20Lady%20Nicole%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,dulux,Dulux/Dutch DCP-0749 Perspective,#c8d4be,0.854714493339617,0.03259251481672589,130.58561750357887,200,212,190,"[200, 212, 190]",6%,0%,10%,17%,"[6%, 0%, 10%, 17%]",83.53,-7.17,9.47,"[83.53, -7.17, 9.47]",https://www.google.com/search?tbm=isch&q=dulux%20Dulux%2FDutch%20DCP-0749%20Perspective%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,dulux,Dulux/Dutch DCP-0755 Creamy Mint,#d4e2c8,0.8952108570023187,0.0379694251687111,130.3703451670243,212,226,200,"[212, 226, 200]",6%,0%,12%,11%,"[6%, 0%, 12%, 11%]",88.29,-8.30,11.09,"[88.29, -8.30, 11.09]",https://www.google.com/search?tbm=isch&q=dulux%20Dulux%2FDutch%20DCP-0755%20Creamy%20Mint%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,dulux,Dulux/Dutch DCP-0772 Wonder Woods,#b9d696,0.8389390126353802,0.09088814494650009,128.02014840749416,185,214,150,"[185, 214, 150]",14%,0%,30%,16%,"[14%, 0%, 30%, 16%]",82.30,-18.24,28.37,"[82.30, -18.24, 28.37]",https://www.google.com/search?tbm=isch&q=dulux%20Dulux%2FDutch%20DCP-0772%20Wonder%20Woods%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,dulux,Dulux/Dutch DCP-0759 Perrenial Garden,#9ab68e,0.7444023626549607,0.06395960759802898,136.34477550369428,154,182,142,"[154, 182, 142]",15%,0%,22%,29%,"[15%, 0%, 22%, 29%]",71.12,-15.57,17.14,"[71.12, -15.57, 17.14]",https://www.google.com/search?tbm=isch&q=dulux%20Dulux%2FDutch%20DCP-0759%20Perrenial%20Garden%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
