Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,RGB_R,RGB_G,RGB_B,RGB,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CMYK,CIE_L,CIE_A,CIE_B,CIE_LAB,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,egger,U999 Black,#1a1a1a,0.2177867278046916,0.00000845815242355016,72.58924660566481,26,26,26,"[26, 26, 26]",0%,0%,0%,90%,"[0%, 0%, 0%, 90%]",9.26,0.00,0.00,"[9.26, 0.00, 0.00]",https://www.google.com/search?tbm=isch&q=egger%20U999%20Black%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,egger,W1000 Premium White,#f2f2f2,0.9611523611354927,0.000037328138654936395,72.58924660566441,242,242,242,"[242, 242, 242]",0%,0%,0%,5%,"[0%, 0%, 0%, 5%]",95.49,0.00,0.01,"[95.49, 0.00, 0.01]",https://www.google.com/search?tbm=isch&q=egger%20W1000%20Premium%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,egger,H3131 Davos Oak Natural,#B89B78,0.7068074590816319,0.0592437519025268,71.87667517846171,184,155,120,"[184, 155, 120]",0%,16%,35%,28%,"[0%, 16%, 35%, 28%]",65.98,7.37,22.63,"[65.98, 7.37, 22.63]",https://www.google.com/search?tbm=isch&q=egger%20H3131%20Davos%20Oak%20Natural%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,egger,H1180 Halifax Oak Natural,#A88B68,0.654822268877199,0.06013131021234172,71.71485280792996,168,139,104,"[168, 139, 104]",0%,17%,38%,34%,"[0%, 17%, 38%, 34%]",59.94,7.65,23.10,"[59.94, 7.65, 23.10]",https://www.google.com/search?tbm=isch&q=egger%20H1180%20Halifax%20Oak%20Natural%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,egger,U708 Light Grey,#D3D4D5,0.8694512441458473,0.0017262380483997807,247.74426609228578,211,212,213,"[211, 212, 213]",1%,0%,0%,16%,"[1%, 0%, 0%, 16%]",84.86,-0.21,-0.61,"[84.86, -0.21, -0.61]",https://www.google.com/search?tbm=isch&q=egger%20U708%20Light%20Grey%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,egger,U732 Dust Grey,#7A7B7D,0.5826966668907061,0.0032419825841648086,264.6130396747184,122,123,125,"[122, 123, 125]",2%,2%,0%,51%,"[2%, 2%, 0%, 51%]",51.58,-0.09,-1.23,"[51.58, -0.09, -1.23]",https://www.google.com/search?tbm=isch&q=egger%20U732%20Dust%20Grey%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,egger,U961 Graphite Grey,#444547,0.3901861640008283,0.003597122714300093,264.5675338839617,68,69,71,"[68, 69, 71]",4%,3%,0%,72%,"[4%, 3%, 0%, 72%]",29.25,-0.09,-1.36,"[29.25, -0.09, -1.36]",https://www.google.com/search?tbm=isch&q=egger%20U961%20Graphite%20Grey%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,egger,U727 Stone Grey,#9A9690,0.674723082090659,0.009922370237594205,78.24151747505977,154,150,144,"[154, 150, 144]",0%,3%,6%,40%,"[0%, 3%, 6%, 40%]",62.29,0.69,3.73,"[62.29, 0.69, 3.73]",https://www.google.com/search?tbm=isch&q=egger%20U727%20Stone%20Grey%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,egger,W980 Platinum White,#F4F4F4,0.9671542991978017,0.000037561235076910325,72.58924660548928,244,244,244,"[244, 244, 244]",0%,0%,0%,4%,"[0%, 0%, 0%, 4%]",96.19,0.00,0.01,"[96.19, 0.00, 0.01]",https://www.google.com/search?tbm=isch&q=egger%20W980%20Platinum%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,egger,U156 Sand Beige,#E6D9C6,0.8906714322094625,0.029288745164920436,77.52026764628135,230,217,198,"[230, 217, 198]",0%,6%,14%,10%,"[0%, 6%, 14%, 10%]",87.37,2.31,11.10,"[87.37, 2.31, 11.10]",https://www.google.com/search?tbm=isch&q=egger%20U156%20Sand%20Beige%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
