Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,eliasWoodwork,Summer Haze Alder,#917963,0.5936071784733444,0.04398727299408254,64.08089799603408,,,Wood Stains,,,,,,D65,10,M1,2026-07-02T15:31:24.589Z,Nix Spectro L,9.03530836e-2,1.10541540e-1,1.21848756e-1,1.27024996e-1,1.30226769e-1,1.33084106e-1,1.35995820e-1,1.39138710e-1,1.43907475e-1,1.51235583e-1,1.60219431e-1,1.69133389e-1,1.77109894e-1,1.83731273e-1,1.89054173e-1,1.95006567e-1,2.05024621e-1,2.17296636e-1,2.26806012e-1,2.35700965e-1,2.44591394e-1,2.55741656e-1,2.67648441e-1,2.75551701e-1,2.82619613e-1,2.92495215e-1,3.02076775e-1,3.12038088e-1,3.21083426e-1,3.29357296e-1,3.36180580e-1,"[0.0903530836,0.11054154,0.121848756,0.127024996,0.130226769,0.133084106,0.13599582,0.13913871,0.143907475,0.151235583,0.160219431,0.169133389,0.177109894,0.183731273,0.189054173,0.195006567,0.205024621,0.217296636,0.226806012,0.235700965,0.244591394,0.255741656,0.267648441,0.275551701,0.282619613,0.292495215,0.302076775,0.312038088,0.321083426,0.329357296,0.33618058]"
DB,eliasWoodwork,Andromeda Alder,#bd9879,0.7052921954863134,0.06117599259879573,61.417822822500966,,,Wood Stains,,,,,,D65,10,M1,2026-07-02T15:32:48.542Z,Nix Spectro L,1.28682679e-1,1.63959226e-1,1.85274124e-1,1.95299065e-1,2.01563492e-1,2.06972203e-1,2.12337825e-1,2.17927894e-1,2.26079756e-1,2.38650724e-1,2.54114687e-1,2.69917130e-1,2.84612030e-1,2.97308505e-1,3.07966900e-1,3.20330936e-1,3.40548635e-1,3.64807308e-1,3.83714277e-1,4.02250069e-1,4.21786797e-1,4.46649253e-1,4.72912920e-1,4.90312672e-1,5.05594522e-1,5.26033998e-1,5.45806301e-1,5.65934014e-1,5.83878517e-1,6.00226128e-1,6.13731086e-1,"[0.128682679,0.163959226,0.185274124,0.195299065,0.201563492,0.206972203,0.212337825,0.217927894,0.226079756,0.238650724,0.254114687,0.26991713,0.28461203,0.297308505,0.3079669,0.320330936,0.340548635,0.364807308,0.383714277,0.402250069,0.421786797,0.446649253,0.47291292,0.490312672,0.505594522,0.526033998,0.545806301,0.565934014,0.583878517,0.600226128,0.613731086]"
DB,eliasWoodwork,Malted Stout Alder,#64462d,0.4212878560091209,0.05620799837932021,58.816850937303286,,,Wood Stains,,,,,,D65,10,M1,2026-07-02T15:34:14.473Z,Nix Spectro L,8.31842134e-3,1.86974615e-2,2.59432197e-2,2.88740918e-2,3.04334894e-2,3.14114481e-2,3.23392026e-2,3.35113496e-2,3.55328478e-2,3.88639294e-2,4.28361230e-2,4.69557032e-2,5.09875886e-2,5.48587061e-2,5.85233837e-2,6.33341677e-2,7.09195063e-2,7.99036235e-2,8.70026723e-2,9.26799417e-2,9.84036505e-2,1.05475725e-1,1.12731381e-1,1.18877105e-1,1.27285835e-1,1.39833507e-1,1.54591900e-1,1.72161570e-1,1.90382966e-1,2.07116297e-1,2.21377620e-1,"[0.00831842134,0.0186974615,0.0259432197,0.0288740918,0.0304334894,0.0314114481,0.0323392026,0.0335113496,0.0355328478,0.0388639294,0.042836123,0.0469557032,0.0509875886,0.0548587061,0.0585233837,0.0633341677,0.0709195063,0.0799036235,0.0870026723,0.0926799417,0.0984036505,0.105475725,0.112731381,0.118877105,0.127285835,0.139833507,0.1545919,0.17216157,0.190382966,0.207116297,0.22137762]"
DB,eliasWoodwork,Smoky Mirror Hickory,#66594e,0.4747208977229623,0.024427918698754224,63.86154155675314,,,Wood Stains,,,,,,D65,10,M1,2026-07-02T15:35:09.885Z,Nix Spectro L,4.56075851e-2,6.02281012e-2,6.99498236e-2,7.41607457e-2,7.65623726e-2,7.86608979e-2,8.09171997e-2,8.33173260e-2,8.67589660e-2,9.18932617e-2,9.68678087e-2,9.97834027e-2,1.00895153e-1,1.01141171e-1,1.00731118e-1,9.99442726e-2,1.00668222e-1,1.03427655e-1,1.06694089e-1,1.10451634e-1,1.15361084e-1,1.22676577e-1,1.30702013e-1,1.37094498e-1,1.44894634e-1,1.56140816e-1,1.68736976e-1,1.83185452e-1,1.97790980e-1,2.11155593e-1,2.22454962e-1,"[0.0456075851,0.0602281012,0.0699498236,0.0741607457,0.0765623726,0.0786608979,0.0809171997,0.083317326,0.086758966,0.0918932617,0.0968678087,0.0997834027,0.100895153,0.101141171,0.100731118,0.0999442726,0.100668222,0.103427655,0.106694089,0.110451634,0.115361084,0.122676577,0.130702013,0.137094498,0.144894634,0.156140816,0.168736976,0.183185452,0.19779098,0.211155593,0.222454962]"
DB,eliasWoodwork,Clear Lacquer Hickory,#bf9669,0.7011193378854099,0.07792824662288478,69.04343287970465,,,Wood Stains,,,,,,D65,10,M1,2026-07-02T15:36:38.435Z,Nix Spectro L,9.32964608e-3,5.61602965e-2,1.01315881e-1,1.27707998e-1,1.48177743e-1,1.63936210e-1,1.76310661e-1,1.86332461e-1,1.96866944e-1,2.11686820e-1,2.29932949e-1,2.49952209e-1,2.68646917e-1,2.84729043e-1,2.97113371e-1,3.11172175e-1,3.36400831e-1,3.67088038e-1,3.89196694e-1,4.08599049e-1,4.27700657e-1,4.52773124e-1,4.80642545e-1,4.98941290e-1,5.13941419e-1,5.33936179e-1,5.53713131e-1,5.73787260e-1,5.90818501e-1,6.06019580e-1,6.18088055e-1,"[0.00932964608,0.0561602965,0.101315881,0.127707998,0.148177743,0.16393621,0.176310661,0.186332461,0.196866944,0.21168682,0.229932949,0.249952209,0.268646917,0.284729043,0.297113371,0.311172175,0.336400831,0.367088038,0.389196694,0.408599049,0.427700657,0.452773124,0.480642545,0.49894129,0.513941419,0.533936179,0.553713131,0.57378726,0.590818501,0.60601958,0.618088055]"
DB,eliasWoodwork,Roasted Barley Walnut,#584133,0.39634148560787974,0.03960849686099187,50.2070089336259,,,Wood Stains,,,,,,D65,10,M1,2026-07-02T15:37:43.908Z,Nix Spectro L,1.55565262e-2,2.43914820e-2,3.07346739e-2,3.37441698e-2,3.56632818e-2,3.67983527e-2,3.75640981e-2,3.82750496e-2,3.94662417e-2,4.17081088e-2,4.43195581e-2,4.62272383e-2,4.76204321e-2,4.89863247e-2,5.03926516e-2,5.25866747e-2,5.70615932e-2,6.32641003e-2,6.85267098e-2,7.31784701e-2,7.78213277e-2,8.37871484e-2,9.03788999e-2,9.55109283e-2,1.01226580e-1,1.09268752e-1,1.18083709e-1,1.27396600e-1,1.35912307e-1,1.43579225e-1,1.49775001e-1,"[0.0155565262,0.024391482,0.0307346739,0.0337441698,0.0356632818,0.0367983527,0.0375640981,0.0382750496,0.0394662417,0.0417081088,0.0443195581,0.0462272383,0.0476204321,0.0489863247,0.0503926516,0.0525866747,0.0570615932,0.0632641003,0.0685267098,0.0731784701,0.0778213277,0.0837871484,0.0903788999,0.0955109283,0.10122658,0.109268752,0.118083709,0.1273966,0.135912307,0.143579225,0.149775001]"
DB,eliasWoodwork,Clear Lacquer Walnut,#79573b,0.4848402619052872,0.06141731298474551,59.75842553930363,,,Wood Stains,,,,,,D65,10,M1,2026-07-02T15:38:53.247Z,Nix Spectro L,3.40139144e-5,1.32218855e-2,3.04394066e-2,3.97589304e-2,4.64887559e-2,5.11765376e-2,5.46839267e-2,5.75714119e-2,6.09394573e-2,6.63778983e-2,7.25953229e-2,7.79952124e-2,8.24478880e-2,8.65640350e-2,9.01918441e-2,9.52014819e-2,1.05171913e-1,1.18458442e-1,1.29155336e-1,1.38573298e-1,1.47972392e-1,1.60139401e-1,1.73609278e-1,1.83715934e-1,1.94342762e-1,2.09116435e-1,2.25286871e-1,2.42439619e-1,2.58084720e-1,2.72141290e-1,2.83520526e-1,"[0.0000340139144,0.0132218855,0.0304394066,0.0397589304,0.0464887559,0.0511765376,0.0546839267,0.0575714119,0.0609394573,0.0663778983,0.0725953229,0.0779952124,0.082447888,0.086564035,0.0901918441,0.0952014819,0.105171913,0.118458442,0.129155336,0.138573298,0.147972392,0.160139401,0.173609278,0.183715934,0.194342762,0.209116435,0.225286871,0.242439619,0.25808472,0.27214129,0.283520526]"
DB,eliasWoodwork,Roasted Barley White Oak,#86694a,0.5418024081150528,0.05795672279033615,66.94983768268366,,,Wood Stains,,,,,,D65,10,M1,2026-07-02T15:40:04.856Z,Nix Spectro L,2.43314765e-2,4.26943049e-2,5.76638579e-2,6.61290936e-2,7.27203533e-2,7.79857799e-2,8.26106772e-2,8.70763496e-2,9.26189691e-2,1.00363664e-1,1.08714744e-1,1.16533343e-1,1.23874134e-1,1.30432668e-1,1.35929127e-1,1.42759652e-1,1.54794368e-1,1.69321787e-1,1.79843408e-1,1.88716248e-1,1.97350219e-1,2.08419171e-1,2.20522204e-1,2.28723454e-1,2.36137500e-1,2.46335867e-1,2.56778845e-1,2.67839023e-1,2.77863896e-1,2.86939281e-1,2.94345111e-1,"[0.0243314765,0.0426943049,0.0576638579,0.0661290936,0.0727203533,0.0779857799,0.0826106772,0.0870763496,0.0926189691,0.100363664,0.108714744,0.116533343,0.123874134,0.130432668,0.135929127,0.142759652,0.154794368,0.169321787,0.179843408,0.188716248,0.197350219,0.208419171,0.220522204,0.228723454,0.2361375,0.246335867,0.256778845,0.267839023,0.277863896,0.286939281,0.294345111]"
DB,eliasWoodwork,Andromeda White Oak,#aa8c74,0.6623308019191261,0.05053753423583327,60.781505343544495,,,Wood Stains,,,,,,D65,10,M1,2026-07-02T15:41:34.355Z,Nix Spectro L,1.04093589e-1,1.38067421e-1,1.61364114e-1,1.72796991e-1,1.80117118e-1,1.85897118e-1,1.90935689e-1,1.95558351e-1,2.01813224e-1,2.11423674e-1,2.22496110e-1,2.32603797e-1,2.41714510e-1,2.49865896e-1,2.57098818e-1,2.66093999e-1,2.82056731e-1,3.02082580e-1,3.17372984e-1,3.30266035e-1,3.42822748e-1,3.59206980e-1,3.77327931e-1,3.90089160e-1,4.02562255e-1,4.20319301e-1,4.38633597e-1,4.58013010e-1,4.75807232e-1,4.91978616e-1,5.05248797e-1,"[0.104093589,0.138067421,0.161364114,0.172796991,0.180117118,0.185897118,0.190935689,0.195558351,0.201813224,0.211423674,0.22249611,0.232603797,0.24171451,0.249865896,0.257098818,0.266093999,0.282056731,0.30208258,0.317372984,0.330266035,0.342822748,0.35920698,0.377327931,0.39008916,0.402562255,0.420319301,0.438633597,0.45801301,0.475807232,0.491978616,0.505248797]"
DB,eliasWoodwork,Summer Haze White Oak,#977a5f,0.5991760982310569,0.052537680199806897,63.79728945285035,,,Wood Stains,,,,,,D65,10,M1,2026-07-02T15:42:36.023Z,Nix Spectro L,5.49779937e-2,8.10862079e-2,1.01172493e-1,1.11848970e-1,1.19462763e-1,1.25413892e-1,1.30432841e-1,1.34963021e-1,1.40609342e-1,1.48850375e-1,1.58191377e-1,1.67025837e-1,1.75097826e-1,1.82246554e-1,1.88293329e-1,1.95702192e-1,2.08971334e-1,2.25414601e-1,2.37619233e-1,2.47903591e-1,2.58077005e-1,2.71564889e-1,2.86524707e-1,2.96900153e-1,3.06695724e-1,3.20378083e-1,3.34479368e-1,3.49429750e-1,3.63095242e-1,3.75481009e-1,3.85619003e-1,"[0.0549779937,0.0810862079,0.101172493,0.11184897,0.119462763,0.125413892,0.130432841,0.134963021,0.140609342,0.148850375,0.158191377,0.167025837,0.175097826,0.182246554,0.188293329,0.195702192,0.208971334,0.225414601,0.237619233,0.247903591,0.258077005,0.271564889,0.286524707,0.296900153,0.306695724,0.320378083,0.334479368,0.34942975,0.363095242,0.375481009,0.385619003]"
