Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,RGB_R,RGB_G,RGB_B,RGB,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CMYK,CIE_L,CIE_A,CIE_B,CIE_LAB,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,farrowball,Farrow & Ball 2005 All White,#fbf8f4,0.9803240374686013,0.006241151973122388,75.3853827518131,251,248,244,"[251, 248, 244]",0%,1%,3%,2%,"[0%, 1%, 3%, 2%]",97.73,0.52,2.31,"[97.73, 0.52, 2.31]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%202005%20All%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 273 Wevet,#eee9e7,0.9373555840451367,0.006097170016225475,43.49488587163273,238,233,231,"[238, 233, 231]",0%,2%,3%,7%,"[0%, 2%, 3%, 7%]",92.70,1.49,1.62,"[92.70, 1.49, 1.62]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%20273%20Wevet%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 239 Wimborne White,#f7f3e8,0.9642489776592695,0.015206937779985679,90.1896687191213,247,243,232,"[247, 243, 232]",0%,2%,6%,3%,"[0%, 2%, 6%, 3%]",95.93,-0.01,5.83,"[95.93, -0.01, 5.83]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%20239%20Wimborne%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 2003 Pointing,#f7f1e3,0.959027895640368,0.019644117881229772,87.48250510222147,247,241,227,"[247, 241, 227]",0%,2%,8%,3%,"[0%, 2%, 8%, 3%]",95.33,0.33,7.55,"[95.33, 0.33, 7.55]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%202003%20Pointing%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 2010 James White,#ede9d8,0.9325612048278292,0.02301158264901748,95.93450628373239,237,233,216,"[237, 233, 216]",0%,2%,9%,7%,"[0%, 2%, 9%, 7%]",92.32,-0.74,8.81,"[92.32, -0.74, 8.81]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%202010%20James%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 211 Stony Ground,#cec1ad,0.8162420954411439,0.031060363780919083,78.7346009381746,206,193,173,"[206, 193, 173]",0%,6%,16%,19%,"[0%, 6%, 16%, 19%]",78.75,2.28,11.85,"[78.75, 2.28, 11.85]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%20211%20Stony%20Ground%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 2002 White Tie,#f5ecd9,0.9450906197576575,0.026985056401566662,85.64427523576603,245,236,217,"[245, 236, 217]",0%,4%,11%,4%,"[0%, 4%, 11%, 4%]",93.73,0.81,10.40,"[93.73, 0.81, 10.40]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%202002%20White%20Tie%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 59 New White,#f5e8d0,0.9350259532636664,0.03474494682419915,82.89593866423786,245,232,208,"[245, 232, 208]",0%,5%,15%,4%,"[0%, 5%, 15%, 4%]",92.57,1.70,13.40,"[92.57, 1.70, 13.40]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%2059%20New%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 2013 Matchstick,#e4d5bc,0.8786165947426072,0.03738226971586645,80.59441664732293,228,213,188,"[228, 213, 188]",0%,7%,18%,11%,"[0%, 7%, 18%, 11%]",86.01,2.39,14.39,"[86.01, 2.39, 14.39]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%202013%20Matchstick%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 8 String,#ddcdae,0.8534320334965861,0.045181140112683524,83.87608398233277,221,205,174,"[221, 205, 174]",0%,7%,21%,13%,"[0%, 7%, 21%, 13%]",83.14,2.15,17.63,"[83.14, 2.15, 17.63]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%208%20String%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 213 Savage Ground,#d8c4a8,0.8297222822954734,0.04407189613718095,76.26884565240778,216,196,168,"[216, 196, 168]",0%,9%,22%,15%,"[0%, 9%, 22%, 15%]",80.31,4.04,16.82,"[80.31, 4.04, 16.82]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%20213%20Savage%20Ground%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 16 Cord,#d6c39e,0.8236947113151942,0.0539579890602224,83.92065908030168,214,195,158,"[214, 195, 158]",0%,9%,26%,16%,"[0%, 9%, 26%, 16%]",79.70,2.74,21.24,"[79.70, 2.74, 21.24]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%2016%20Cord%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 2004 Slipper Satin,#e8e0d1,0.9089574948138197,0.021942131326534157,83.24229117108041,232,224,209,"[232, 224, 209]",0%,3%,10%,9%,"[0%, 3%, 10%, 9%]",89.51,0.94,8.40,"[89.51, 0.94, 8.40]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%202004%20Slipper%20Satin%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 1 Lime White,#e8dec9,0.902965802559079,0.030119846866832015,85.5468798911499,232,222,201,"[232, 222, 201]",0%,4%,13%,9%,"[0%, 4%, 13%, 9%]",88.86,0.97,11.64,"[88.86, 0.97, 11.64]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%201%20Lime%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 3 Off-White,#e0d5be,0.8757595070562368,0.03318746611279196,85.46313843763852,224,213,190,"[224, 213, 190]",0%,5%,15%,12%,"[0%, 5%, 15%, 12%]",85.71,1.12,12.86,"[85.71, 1.12, 12.86]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%203%20Off-White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 4 Old White,#cfc3ad,0.8211357423511149,0.03289530071328467,82.73754097600101,207,195,173,"[207, 195, 173]",0%,6%,16%,19%,"[0%, 6%, 16%, 19%]",79.35,1.66,12.71,"[79.35, 1.66, 12.71]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%204%20Old%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 17 Light Gray,#b4a693,0.7318805019835329,0.031258298661862687,75.57735201277058,180,166,147,"[180, 166, 147]",0%,8%,18%,29%,"[0%, 8%, 18%, 29%]",68.94,2.90,11.82,"[68.94, 2.90, 11.82]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%2017%20Light%20Gray%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 40 Mouse's Back,#998976,0.6391259547947719,0.033602505856867776,71.93247196327349,153,137,118,"[153, 137, 118]",0%,10%,23%,40%,"[0%, 10%, 23%, 40%]",58.15,3.89,12.55,"[58.15, 3.89, 12.55]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%2040%20Mouse's%20Back%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 291 School House White,#e6dfd1,0.9053657656302626,0.020310341985480648,84.56721241100195,230,223,209,"[230, 223, 209]",0%,3%,9%,10%,"[0%, 3%, 9%, 10%]",89.10,0.71,7.79,"[89.10, 0.71, 7.79]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%20291%20School%20House%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 282 Shadow White,#ded8c6,0.8821261143535877,0.025110658571779316,91.6050372708757,222,216,198,"[222, 216, 198]",0%,3%,11%,13%,"[0%, 3%, 11%, 13%]",86.46,-0.13,9.69,"[86.46, -0.13, 9.69]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%20282%20Shadow%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 201 Shaded White,#d9d2c1,0.8647487864139941,0.024282066377942613,88.22265405047347,217,210,193,"[217, 210, 193]",0%,3%,11%,15%,"[0%, 3%, 11%, 15%]",84.42,0.36,9.37,"[84.42, 0.36, 9.37]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%20201%20Shaded%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 283 Drop Cloth,#c9beab,0.8053984113423512,0.028916623021533857,81.43691173606993,201,190,171,"[201, 190, 171]",0%,5%,15%,21%,"[0%, 5%, 15%, 21%]",77.51,1.65,11.11,"[77.51, 1.65, 11.11]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%20283%20Drop%20Cloth%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 15 Bone,#cec3ad,0.8202874006446411,0.032449558057364054,84.56979814971697,206,195,173,"[206, 195, 173]",0%,5%,16%,19%,"[0%, 5%, 16%, 19%]",79.26,1.29,12.57,"[79.26, 1.29, 12.57]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%2015%20Bone%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,farrowball,Farrow & Ball 5 Hardwick White,#b5afa0,0.7547678388583361,0.022087757987440268,88.72738715656988,181,175,160,"[181, 175, 160]",0%,3%,12%,29%,"[0%, 3%, 12%, 29%]",71.65,0.27,8.53,"[71.65, 0.27, 8.53]",https://www.google.com/search?tbm=isch&q=farrowBall%20Farrow%20%26%20Ball%205%20Hardwick%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
