Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Tags,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,frendel,Moonlight,#888888,0.4636821310361962,0.00325316016841612,282.14892476442196,,,,,,,,,9.20000000e-2,1.02000000e-1,1.05000000e-1,1.05000000e-1,1.05000000e-1,1.05000000e-1,1.04000000e-1,1.03000000e-1,1.02000000e-1,1.01000000e-1,1.00000000e-1,9.93000000e-2,9.89000000e-2,9.86000000e-2,9.88000000e-2,9.91000000e-2,9.95000000e-2,1.00000000e-1,1.01000000e-1,1.02000000e-1,1.01000000e-1,9.99000000e-2,9.81000000e-2,9.67000000e-2,9.55000000e-2,9.45000000e-2,9.31000000e-2,9.16000000e-2,9.03000000e-2,8.92000000e-2,8.83000000e-2,"[0.092,0.102,0.105,0.105,0.105,0.105,0.104,0.103,0.102,0.101,0.1,0.0993,0.0989,0.0986,0.0988,0.0991,0.0995,0.1,0.101,0.102,0.101,0.0999,0.0981,0.0967,0.0955,0.0945,0.0931,0.0916,0.0903,0.0892,0.0883]"
DB,frendel,Navy Blue,#888888,0.42096069731636243,0.02053801243045624,253.03775705461726,,,,,,,,,7.59000000e-2,8.77000000e-2,9.50000000e-2,9.79000000e-2,9.91000000e-2,9.94000000e-2,9.83000000e-2,9.58000000e-2,9.22000000e-2,8.76000000e-2,8.44000000e-2,8.29000000e-2,8.15000000e-2,8.01000000e-2,7.89000000e-2,7.68000000e-2,7.36000000e-2,7.03000000e-2,6.76000000e-2,6.50000000e-2,6.36000000e-2,6.44000000e-2,6.64000000e-2,6.78000000e-2,6.86000000e-2,6.94000000e-2,6.93000000e-2,6.84000000e-2,6.68000000e-2,6.54000000e-2,6.39000000e-2,"[0.0759,0.0877,0.095,0.0979,0.0991,0.0994,0.0983,0.0958,0.0922,0.0876,0.0844,0.0829,0.0815,0.0801,0.0789,0.0768,0.0736,0.0703,0.0676,0.065,0.0636,0.0644,0.0664,0.0678,0.0686,0.0694,0.0693,0.0684,0.0668,0.0654,0.0639]"
DB,frendel,October Mist,#888888,0.7419619572535111,0.027484765902019263,107.70811213864329,,,,,,,,,1.83000000e-1,2.38000000e-1,2.83000000e-1,3.07000000e-1,3.24000000e-1,3.37000000e-1,3.45000000e-1,3.48000000e-1,3.49000000e-1,3.52000000e-1,3.62000000e-1,3.81000000e-1,3.99000000e-1,4.12000000e-1,4.19000000e-1,4.23000000e-1,4.29000000e-1,4.35000000e-1,4.35000000e-1,4.27000000e-1,4.16000000e-1,4.07000000e-1,4.01000000e-1,3.98000000e-1,3.93000000e-1,3.90000000e-1,3.87000000e-1,3.86000000e-1,3.85000000e-1,3.85000000e-1,3.85000000e-1,"[0.183,0.238,0.283,0.307,0.324,0.337,0.345,0.348,0.349,0.352,0.362,0.381,0.399,0.412,0.419,0.423,0.429,0.435,0.435,0.427,0.416,0.407,0.401,0.398,0.393,0.39,0.387,0.386,0.385,0.385,0.385]"
DB,frendel,Orchid,#f3f1eb,0.9583780820661447,0.008841065070525773,97.3620814217806,,,,,,,,,6.27000000e-1,7.33000000e-1,7.95000000e-1,8.20000000e-1,8.32000000e-1,8.43000000e-1,8.49000000e-1,8.50000000e-1,8.51000000e-1,8.52000000e-1,8.59000000e-1,8.67000000e-1,8.74000000e-1,8.78000000e-1,8.81000000e-1,8.81000000e-1,8.83000000e-1,8.88000000e-1,8.93000000e-1,8.95000000e-1,8.93000000e-1,8.90000000e-1,8.89000000e-1,8.87000000e-1,8.84000000e-1,8.86000000e-1,8.83000000e-1,8.82000000e-1,8.81000000e-1,8.81000000e-1,8.81000000e-1,"[0.627,0.733,0.795,0.82,0.832,0.843,0.849,0.85,0.851,0.852,0.859,0.867,0.874,0.878,0.881,0.881,0.883,0.888,0.893,0.895,0.893,0.89,0.889,0.887,0.884,0.886,0.883,0.882,0.881,0.881,0.881]"
DB,frendel,Macadamia,#d0cbbd,0.8421784124147299,0.01985825458376968,89.58513238666598,,,,,,,,,3.46000000e-1,4.20000000e-1,4.72000000e-1,4.97000000e-1,5.13000000e-1,5.26000000e-1,5.34000000e-1,5.36000000e-1,5.38000000e-1,5.40000000e-1,5.49000000e-1,5.63000000e-1,5.77000000e-1,5.88000000e-1,5.95000000e-1,5.99000000e-1,6.07000000e-1,6.17000000e-1,6.23000000e-1,6.25000000e-1,6.22000000e-1,6.18000000e-1,6.17000000e-1,6.14000000e-1,6.10000000e-1,6.08000000e-1,6.05000000e-1,6.02000000e-1,5.99000000e-1,5.98000000e-1,5.96000000e-1,"[0.346,0.42,0.472,0.497,0.513,0.526,0.534,0.536,0.538,0.54,0.549,0.563,0.577,0.588,0.595,0.599,0.607,0.617,0.623,0.625,0.622,0.618,0.617,0.614,0.61,0.608,0.605,0.602,0.599,0.598,0.596]"
DB,frendel,Poppyseed Oak,#2a2b2e,0.2881708794540914,0.005999646859511813,279.71421698824156,https://www.frendel.com/product-catalogue/product-finishes/,https://www.frendel.com/wp-content/uploads/2025/07/OAK-POPPY-SEED.jpg,Wood Stains,D65,10,M1,2026-05-07T16:26:37.069Z,Nix Spectro L,2.75000000e-2,2.91000000e-2,2.86000000e-2,2.80000000e-2,2.74000000e-2,2.69000000e-2,2.64000000e-2,2.60000000e-2,2.59000000e-2,2.57000000e-2,2.56000000e-2,2.51000000e-2,2.46000000e-2,2.41000000e-2,2.37000000e-2,2.34000000e-2,2.31000000e-2,2.29000000e-2,2.31000000e-2,2.34000000e-2,2.37000000e-2,2.37000000e-2,2.37000000e-2,2.37000000e-2,2.39000000e-2,2.43000000e-2,2.46000000e-2,2.49000000e-2,2.52000000e-2,2.55000000e-2,2.57000000e-2,"[0.0275,0.0291,0.0286,0.028,0.0274,0.0269,0.0264,0.026,0.0259,0.0257,0.0256,0.0251,0.0246,0.0241,0.0237,0.0234,0.0231,0.0229,0.0231,0.0234,0.0237,0.0237,0.0237,0.0237,0.0239,0.0243,0.0246,0.0249,0.0252,0.0255,0.0257]"
DB,frendel,Chocolate Oak,#413530,0.33901679527779094,0.019419144667917738,41.64513770214768,https://www.frendel.com/product-catalogue/product-finishes/,https://www.frendel.com/wp-content/uploads/2025/06/fk_sample_oak_chocolate_.jpg,Wood Stains,D65,10,M1,2026-05-07T16:27:48.365Z,Nix Spectro L,2.23000000e-2,2.63000000e-2,2.85000000e-2,2.94000000e-2,3.01000000e-2,3.05000000e-2,3.07000000e-2,3.09000000e-2,3.14000000e-2,3.24000000e-2,3.39000000e-2,3.50000000e-2,3.54000000e-2,3.53000000e-2,3.49000000e-2,3.43000000e-2,3.42000000e-2,3.54000000e-2,3.83000000e-2,4.37000000e-2,4.81000000e-2,5.06000000e-2,5.18000000e-2,5.24000000e-2,5.32000000e-2,5.44000000e-2,5.56000000e-2,5.68000000e-2,5.78000000e-2,5.88000000e-2,5.95000000e-2,"[0.0223,0.0263,0.0285,0.0294,0.0301,0.0305,0.0307,0.0309,0.0314,0.0324,0.0339,0.035,0.0354,0.0353,0.0349,0.0343,0.0342,0.0354,0.0383,0.0437,0.0481,0.0506,0.0518,0.0524,0.0532,0.0544,0.0556,0.0568,0.0578,0.0588,0.0595]"
DB,frendel,Caviar Maple,#202022,0.24424675950349398,0.004114933017352091,289.87085377112146,https://www.frendel.com/product-catalogue/product-finishes/,https://www.frendel.com/wp-content/uploads/2025/06/fk_sample_maple_caviar_-416x416-1.jpg,Wood Stains,D65,10,M1,2026-05-07T16:28:40.763Z,Nix Spectro L,1.63000000e-2,1.75000000e-2,1.72000000e-2,1.67000000e-2,1.62000000e-2,1.58000000e-2,1.55000000e-2,1.53000000e-2,1.54000000e-2,1.57000000e-2,1.59000000e-2,1.57000000e-2,1.53000000e-2,1.48000000e-2,1.44000000e-2,1.40000000e-2,1.37000000e-2,1.37000000e-2,1.38000000e-2,1.39000000e-2,1.40000000e-2,1.42000000e-2,1.44000000e-2,1.49000000e-2,1.58000000e-2,1.74000000e-2,1.92000000e-2,2.15000000e-2,2.38000000e-2,2.60000000e-2,2.78000000e-2,"[0.0163,0.0175,0.0172,0.0167,0.0162,0.0158,0.0155,0.0153,0.0154,0.0157,0.0159,0.0157,0.0153,0.0148,0.0144,0.014,0.0137,0.0137,0.0138,0.0139,0.014,0.0142,0.0144,0.0149,0.0158,0.0174,0.0192,0.0215,0.0238,0.026,0.0278]"
DB,frendel,Porcini Maple,#7f6856,0.5340256103906775,0.04065143664203827,59.488207069777275,https://www.frendel.com/product-catalogue/product-finishes/,https://www.frendel.com/wp-content/uploads/2025/06/fk_sample_maple_porcini_.jpg,Wood Stains,D65,10,M1,2026-05-07T16:29:16.310Z,Nix Spectro L,7.79000000e-2,8.94000000e-2,9.33000000e-2,9.43000000e-2,9.45000000e-2,9.54000000e-2,9.73000000e-2,9.99000000e-2,1.05000000e-1,1.14000000e-1,1.25000000e-1,1.34000000e-1,1.38000000e-1,1.39000000e-1,1.38000000e-1,1.36000000e-1,1.34000000e-1,1.38000000e-1,1.50000000e-1,1.73000000e-1,1.93000000e-1,2.05000000e-1,2.10000000e-1,2.13000000e-1,2.15000000e-1,2.19000000e-1,2.22000000e-1,2.24000000e-1,2.26000000e-1,2.28000000e-1,2.29000000e-1,"[0.0779,0.0894,0.0933,0.0943,0.0945,0.0954,0.0973,0.0999,0.105,0.114,0.125,0.134,0.138,0.139,0.138,0.136,0.134,0.138,0.15,0.173,0.193,0.205,0.21,0.213,0.215,0.219,0.222,0.224,0.226,0.228,0.229]"
DB,frendel,Oyster Maple,#7c7169,0.5557299325589934,0.01863169049342958,60.1062500716489,https://www.frendel.com/product-catalogue/product-finishes/,https://www.frendel.com/wp-content/uploads/2025/06/fk_sample_maple_oyster_-416x415-1.jpg,Wood Stains,D65,10,M1,2026-05-07T16:29:52.837Z,Nix Spectro L,1.14000000e-1,1.30000000e-1,1.37000000e-1,1.40000000e-1,1.41000000e-1,1.42000000e-1,1.44000000e-1,1.46000000e-1,1.49000000e-1,1.53000000e-1,1.59000000e-1,1.63000000e-1,1.64000000e-1,1.65000000e-1,1.64000000e-1,1.63000000e-1,1.63000000e-1,1.66000000e-1,1.72000000e-1,1.83000000e-1,1.91000000e-1,1.96000000e-1,1.99000000e-1,2.01000000e-1,2.02000000e-1,2.04000000e-1,2.06000000e-1,2.08000000e-1,2.09000000e-1,2.10000000e-1,2.11000000e-1,"[0.114,0.13,0.137,0.14,0.141,0.142,0.144,0.146,0.149,0.153,0.159,0.163,0.164,0.165,0.164,0.163,0.163,0.166,0.172,0.183,0.191,0.196,0.199,0.201,0.202,0.204,0.206,0.208,0.209,0.21,0.211]"
DB,frendel,Cashew Oak,#a0774f,0.6011213050199713,0.07576654378699449,65.60019129945675,https://www.frendel.com/product-catalogue/product-finishes/,https://www.frendel.com/wp-content/uploads/2025/06/fk_sample_oak_cashew_-416x416-1.jpg,Wood Stains,D65,10,M1,2026-05-07T16:30:31.560Z,Nix Spectro L,6.62000000e-2,8.06000000e-2,8.51000000e-2,8.59000000e-2,8.57000000e-2,8.67000000e-2,8.95000000e-2,9.42000000e-2,1.03000000e-1,1.19000000e-1,1.42000000e-1,1.63000000e-1,1.77000000e-1,1.85000000e-1,1.88000000e-1,1.88000000e-1,1.91000000e-1,2.02000000e-1,2.24000000e-1,2.62000000e-1,2.95000000e-1,3.19000000e-1,3.36000000e-1,3.45000000e-1,3.54000000e-1,3.66000000e-1,3.78000000e-1,3.90000000e-1,4.00000000e-1,4.09000000e-1,4.16000000e-1,"[0.0662,0.0806,0.0851,0.0859,0.0857,0.0867,0.0895,0.0942,0.103,0.119,0.142,0.163,0.177,0.185,0.188,0.188,0.191,0.202,0.224,0.262,0.295,0.319,0.336,0.345,0.354,0.366,0.378,0.39,0.4,0.409,0.416]"
