Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,RGB_R,RGB_G,RGB_B,RGB,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CMYK,CIE_L,CIE_A,CIE_B,CIE_LAB,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,munsell,5R 4/14,#C03234,0.5375914978347976,0.17886206448245054,24.921719410711773,192,50,52,"[192, 50, 52]",0%,74%,73%,25%,"[0%, 74%, 73%, 25%]",44.55,56.57,34.68,"[44.55, 56.57, 34.68]",https://www.google.com/search?tbm=isch&q=munsell%205R%204%2F14%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,munsell,5YR 6/12,#D38035,0.6757233440414203,0.13488878889638878,58.99348395483372,211,128,53,"[211, 128, 53]",0%,39%,75%,17%,"[0%, 39%, 75%, 17%]",61.81,28.68,52.85,"[61.81, 28.68, 52.85]",https://www.google.com/search?tbm=isch&q=munsell%205YR%206%2F12%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,munsell,5Y 8/12,#E3C43E,0.8241582932601547,0.1497120021575986,95.6112239874235,227,196,62,"[227, 196, 62]",0%,14%,73%,11%,"[0%, 14%, 73%, 11%]",80.16,1.32,67.25,"[80.16, 1.32, 67.25]",https://www.google.com/search?tbm=isch&q=munsell%205Y%208%2F12%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,munsell,5GY 7/10,#A2B23C,0.7285183965204076,0.14174383990019154,116.6586569944784,162,178,60,"[162, 178, 60]",9%,0%,66%,30%,"[9%, 0%, 66%, 30%]",69.63,-17.44,55.57,"[69.63, -17.44, 55.57]",https://www.google.com/search?tbm=isch&q=munsell%205GY%207%2F10%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,munsell,5G 5/10,#008B5E,0.562678326855982,0.12380510488749757,161.78208209836055,0,139,94,"[0, 139, 94]",100%,0%,32%,45%,"[100%, 0%, 32%, 45%]",50.90,-41.95,14.76,"[50.90, -41.95, 14.76]",https://www.google.com/search?tbm=isch&q=munsell%205G%205%2F10%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,munsell,5BG 6/8,#00A094,0.6347823974433936,0.11159982709508373,185.487225251062,0,160,148,"[0, 160, 148]",100%,0%,7%,37%,"[100%, 0%, 7%, 37%]",58.97,-38.59,-4.27,"[58.97, -38.59, -4.27]",https://www.google.com/search?tbm=isch&q=munsell%205BG%206%2F8%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,munsell,5B 5/8,#0089A1,0.5803556076395281,0.10296706170937668,215.81886893596504,0,137,161,"[0, 137, 161]",100%,15%,0%,37%,"[100%, 15%, 0%, 37%]",51.94,-25.56,-22.15,"[51.94, -25.56, -22.15]",https://www.google.com/search?tbm=isch&q=munsell%205B%205%2F8%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,munsell,5PB 4/10,#3E5BA9,0.48958338350759667,0.12933515238406265,266.3681596724414,62,91,169,"[62, 91, 169]",63%,46%,0%,34%,"[63%, 46%, 0%, 34%]",39.54,8.87,-46.04,"[39.54, 8.87, -46.04]",https://www.google.com/search?tbm=isch&q=munsell%205PB%204%2F10%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,munsell,5P 4/12,#8D3E97,0.5038184431117766,0.1569815280836798,323.047888326577,141,62,151,"[141, 62, 151]",7%,59%,0%,41%,"[7%, 59%, 0%, 41%]",40.01,43.80,-33.95,"[40.01, 43.80, -33.95]",https://www.google.com/search?tbm=isch&q=munsell%205P%204%2F12%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,munsell,5RP 4/12,#B0306A,0.5209839712066486,0.1711295114026863,357.30691405672087,176,48,106,"[176, 48, 106]",0%,73%,40%,31%,"[0%, 73%, 40%, 31%]",42.24,55.13,-2.32,"[42.24, 55.13, -2.32]",https://www.google.com/search?tbm=isch&q=munsell%205RP%204%2F12%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
