Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,RGB_R,RGB_G,RGB_B,RGB,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CMYK,CIE_L,CIE_A,CIE_B,CIE_LAB,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,ncs,NCS 0300-N,#f7f7f7,0.9761398006642519,0.00003791020372976814,72.5892466051265,247,247,247,"[247, 247, 247]",0%,0%,0%,3%,"[0%, 0%, 0%, 3%]",97.23,0.00,0.01,"[97.23, 0.00, 0.01]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200300-N%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0500-N,#f2f2f2,0.9611523611354927,0.000037328138654936395,72.58924660566441,242,242,242,"[242, 242, 242]",0%,0%,0%,5%,"[0%, 0%, 0%, 5%]",95.49,0.00,0.01,"[95.49, 0.00, 0.01]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200500-N%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0502-B,#f5fbff,0.9847169100000228,0.00828122474709387,236.47766469600742,245,251,255,"[245, 251, 255]",4%,2%,0%,0%,"[4%, 2%, 0%, 0%]",98.25,-1.50,-2.63,"[98.25, -1.50, -2.63]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-B%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0502-B50G,#f7fffe,0.9937500383958713,0.008503683676569253,187.8867610745359,247,255,254,"[247, 255, 254]",3%,0%,0%,0%,"[3%, 0%, 0%, 0%]",99.37,-2.85,-0.47,"[99.37, -2.85, -0.47]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-B50G%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0502-G,#f4fff8,0.9898930627063467,0.014747645129581903,158.11741292314355,244,255,248,"[244, 255, 248]",4%,0%,3%,0%,"[4%, 0%, 3%, 0%]",99.03,-4.66,2.05,"[99.03, -4.66, 2.05]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-G%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0502-G50Y,#fdfff6,0.9960363971361654,0.012001846774063777,116.67198838104906,253,255,246,"[253, 255, 246]",1%,0%,4%,0%,"[1%, 0%, 4%, 0%]",99.66,-1.84,4.08,"[99.66, -1.84, 4.08]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-G50Y%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0502-R,#fff1f2,0.9694127018482943,0.015187928242579373,12.54466209882412,255,241,242,"[255, 241, 242]",0%,5%,5%,0%,"[0%, 5%, 5%, 0%]",96.28,5.00,1.31,"[96.28, 5.00, 1.31]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-R%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0502-R50B,#fef6fd,0.9813025120715864,0.012490698763846031,329.734533939382,254,246,253,"[254, 246, 253]",0%,3%,0%,0%,"[0%, 3%, 0%, 0%]",97.66,3.67,-2.36,"[97.66, 3.67, -2.36]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-R50B%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0502-Y,#fffdf6,0.993660203548132,0.009487580139390411,93.48012604769042,255,253,246,"[255, 253, 246]",0%,1%,4%,0%,"[0%, 1%, 4%, 0%]",99.32,-0.21,3.62,"[99.32, -0.21, 3.62]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-Y%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0502-Y50R,#fef8f4,0.9826493065836106,0.008394354639039245,56.38346189505722,254,248,244,"[254, 248, 244]",0%,2%,4%,0%,"[0%, 2%, 4%, 0%]",97.97,1.56,2.69,"[97.97, 1.56, 2.69]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-Y50R%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0505-B,#e8f6fe,0.9650806420972448,0.018290154219460536,232.45797078325563,232,246,254,"[232, 246, 254]",9%,3%,0%,0%,"[9%, 3%, 0%, 0%]",96.01,-3.64,-5.51,"[96.01, -3.64, -5.51]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200505-B%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0505-B20G,#eafbff,0.9767323527661642,0.018627257238903627,213.33308724628,234,251,255,"[234, 251, 255]",8%,2%,0%,0%,"[8%, 2%, 0%, 0%]",97.44,-5.19,-3.92,"[97.44, -5.19, -3.92]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200505-B20G%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0505-B50G,#ecfffe,0.985823479190951,0.01986451740908801,192.9233890006077,236,255,254,"[236, 255, 254]",7%,0%,0%,0%,"[7%, 0%, 0%, 0%]",98.57,-6.54,-1.75,"[98.57, -6.54, -1.75]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200505-B50G%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0505-B80G,#eafffa,0.983290361628795,0.022842024005729,179.8873736810542,234,255,250,"[234, 255, 250]",8%,0%,2%,0%,"[8%, 0%, 2%, 0%]",98.35,-7.76,-0.06,"[98.35, -7.76, -0.06]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200505-B80G%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0505-G,#e4ffef,0.976118795195301,0.03514036972535364,159.66011952760425,228,255,239,"[228, 255, 239]",11%,0%,6%,0%,"[11%, 0%, 6%, 0%]",97.71,-11.27,4.56,"[97.71, -11.27, 4.56]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200505-G%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ncs,NCS 0505-G10Y,#ecffec,0.98092726276303,0.031950655893172454,145.26681859388168,236,255,236,"[236, 255, 236]",7%,0%,7%,0%,"[7%, 0%, 7%, 0%]",98.21,-8.96,6.89,"[98.21, -8.96, 6.89]",https://www.google.com/search?tbm=isch&q=ncs%20NCS%200505-G10Y%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
