Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,RGB_R,RGB_G,RGB_B,RGB,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CMYK,CIE_L,CIE_A,CIE_B,CIE_LAB,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,ppg,PPG 1001-1 Delicate White,#f1f2ee,0.9592756470751826,0.005426359379541602,117.64754443574338,241,242,238,"[241, 242, 238]",0%,0%,2%,5%,"[0%, 0%, 2%, 5%]",95.33,-0.87,1.83,"[95.33, -0.87, 1.83]",https://www.google.com/search?tbm=isch&q=ppg%20PPG%201001-1%20Delicate%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ppg,PPG 1001-2 Aria,#e3e4e2,0.9175334413429709,0.0029021542132250198,127.91739542123548,227,228,226,"[227, 228, 226]",0%,0%,1%,11%,"[0%, 0%, 1%, 11%]",90.47,-0.61,0.87,"[90.47, -0.61, 0.87]",https://www.google.com/search?tbm=isch&q=ppg%20PPG%201001-2%20Aria%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ppg,PPG 1001-3 Thin Ice,#d9dcdb,0.8918836467470997,0.0035097895780805337,173.92203142179517,217,220,219,"[217, 220, 219]",1%,0%,0%,14%,"[1%, 0%, 0%, 14%]",87.50,-1.18,0.13,"[87.50, -1.18, 0.13]",https://www.google.com/search?tbm=isch&q=ppg%20PPG%201001-3%20Thin%20Ice%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ppg,PPG 1001-4 Flagstone,#acadad,0.7468167341709809,0.0011225251364536423,195.91271559396148,172,173,173,"[172, 173, 173]",1%,0%,0%,32%,"[1%, 0%, 0%, 32%]",70.64,-0.36,-0.12,"[70.64, -0.36, -0.12]",https://www.google.com/search?tbm=isch&q=ppg%20PPG%201001-4%20Flagstone%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ppg,PPG 1001-5 Dover Gray,#848585,0.6158559887505946,0.001181140636180267,196.16966414583703,132,133,133,"[132, 133, 133]",1%,0%,0%,48%,"[1%, 0%, 0%, 48%]",55.45,-0.38,-0.13,"[55.45, -0.38, -0.13]",https://www.google.com/search?tbm=isch&q=ppg%20PPG%201001-5%20Dover%20Gray%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ppg,PPG 1001-6 Knight's Armor,#5c5d5d,0.4774533108680248,0.0012618333992478095,196.41996531238453,92,93,93,"[92, 93, 93]",1%,0%,0%,64%,"[1%, 0%, 0%, 64%]",39.40,-0.41,-0.14,"[39.40, -0.41, -0.14]",https://www.google.com/search?tbm=isch&q=ppg%20PPG%201001-6%20Knight's%20Armor%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ppg,PPG 1001-7 Black Magic,#414040,0.37247100346119344,0.001369019620377713,17.715268734744882,65,64,64,"[65, 64, 64]",0%,2%,2%,75%,"[0%, 2%, 2%, 75%]",27.19,0.44,0.16,"[27.19, 0.44, 0.16]",https://www.google.com/search?tbm=isch&q=ppg%20PPG%201001-7%20Black%20Magic%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ppg,PPG 1002-1 Silver Feather,#edebe7,0.940500501280045,0.005807208864117217,84.4886163947607,237,235,231,"[237, 235, 231]",0%,1%,3%,7%,"[0%, 1%, 3%, 7%]",93.12,0.18,2.21,"[93.12, 0.18, 2.21]",https://www.google.com/search?tbm=isch&q=ppg%20PPG%201002-1%20Silver%20Feather%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ppg,PPG 1002-2 Arctic Cotton,#e6e3df,0.9170486694984925,0.006342330736163251,75.3835503763085,230,227,223,"[230, 227, 223]",0%,1%,3%,10%,"[0%, 1%, 3%, 10%]",90.39,0.53,2.35,"[90.39, 0.53, 2.35]",https://www.google.com/search?tbm=isch&q=ppg%20PPG%201002-2%20Arctic%20Cotton%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,ppg,PPG 1002-3 Cool Slate,#d0ccc5,0.846434934452206,0.010607581975562034,81.76141049175095,208,204,197,"[208, 204, 197]",0%,2%,5%,18%,"[0%, 2%, 5%, 18%]",82.22,0.51,4.03,"[82.22, 0.51, 4.03]",https://www.google.com/search?tbm=isch&q=ppg%20PPG%201002-3%20Cool%20Slate%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
