Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","sherwinWilliams","Sherwin Williams 1 Mulberry Silk","","","#94766C"
"DB","sherwinWilliams","Sherwin Williams 2 Chelsea Mauve","","","#BEAC9F"
"DB","sherwinWilliams","Sherwin Williams 3 Cabbage Rose","","","#C59F91"
"DB","sherwinWilliams","Sherwin Williams 4 Rose Brocade","","","#996C6E"
"DB","sherwinWilliams","Sherwin Williams 5 Deepest Mauve","","","#6D595A"
"DB","sherwinWilliams","Sherwin Williams 6 Toile Red","","","#8B534E"
"DB","sherwinWilliams","Sherwin Williams 7 Decorous Amber","","","#AC7559"
"DB","sherwinWilliams","Sherwin Williams 8 Cajun Red","","","#8D422F"
"DB","sherwinWilliams","Sherwin Williams 9 Eastlake Gold","","","#C28E61"
"DB","sherwinWilliams","Sherwin Williams 10 Wickerwork","","","#C19E80"
"DB","sherwinWilliams","Sherwin Williams 11 Crewel Tan","","","#CBB99B"
"DB","sherwinWilliams","Sherwin Williams 12 Empire Gold","","","#C19F6E"
"DB","sherwinWilliams","Sherwin Williams 13 Majolica Green","","","#AEB08F"
"DB","sherwinWilliams","Sherwin Williams 14 Sheraton Sage","","","#8F8666"
"DB","sherwinWilliams","Sherwin Williams 15 Gallery Green","","","#708672"
"DB","sherwinWilliams","Sherwin Williams 16 Billiard Green","","","#45584D"
"DB","sherwinWilliams","Sherwin Williams 17 Calico","","","#8CA49C"
"DB","sherwinWilliams","Sherwin Williams 18 Teal Stencil","","","#627F7B"
"DB","sherwinWilliams","Sherwin Williams 19 Festoon Aqua","","","#A0BBB8"
"DB","sherwinWilliams","Sherwin Williams 20 Peacock Plume","","","#739694"
"DB","sherwinWilliams","Sherwin Williams 21 Queen Anne Lilac","","","#C0B6B4"
"DB","sherwinWilliams","Sherwin Williams 22 Patchwork Plum","","","#7E696A"
"DB","sherwinWilliams","Sherwin Williams 23 Pewter Tankard","","","#A39B90"
"DB","sherwinWilliams","Sherwin Williams 24 Curio Gray","","","#988977"
"DB","sherwinWilliams","Sherwin Williams 25 Rosedust","","","#CC8D84"
"DB","sherwinWilliams","Sherwin Williams 26 Rachel Pink","","","#E8B9AE"
"DB","sherwinWilliams","Sherwin Williams 27 Aristocrat Peach","","","#ECCEB9"
"DB","sherwinWilliams","Sherwin Williams 28 Caen Stone","","","#ECD0B1"
"DB","sherwinWilliams","Sherwin Williams 29 Acanthus","","","#CDCDB4"
"DB","sherwinWilliams","Sherwin Williams 30 Colonial Yellow","","","#EFC488"
"DB","sherwinWilliams","Sherwin Williams 31 Dutch Tile Blue","","","#9AABAB"
"DB","sherwinWilliams","Sherwin Williams 32 Needlepoint Navy","","","#546670"
"DB","sherwinWilliams","Sherwin Williams 33 Rembrandt Ruby","","","#974F49"
"DB","sherwinWilliams","Sherwin Williams 34 Roycroft Rose","","","#C08F80"
"DB","sherwinWilliams","Sherwin Williams 35 Indian White","","","#EEDAC3"
"DB","sherwinWilliams","Sherwin Williams 36 Buckram Binding","","","#D9C3A6"
"DB","sherwinWilliams","Sherwin Williams 37 Morris Room Grey","","","#ADA193"
"DB","sherwinWilliams","Sherwin Williams 38 Library Pewter","","","#7F7263"
"DB","sherwinWilliams","Sherwin Williams 39 Portrait Tone","","","#C4957A"
"DB","sherwinWilliams","Sherwin Williams 40 Roycroft Adobe","","","#A76251"
"DB","sherwinWilliams","Sherwin Williams 41 Dard Hunter Green","","","#3A4A3F"
"DB","sherwinWilliams","Sherwin Williams 42 Ruskin Room Green","","","#ACA17D"
"DB","sherwinWilliams","Sherwin Williams 43 Peristyle Brass","","","#AE905E"
"DB","sherwinWilliams","Sherwin Williams 44 Hubbard Squash","","","#E9BF8C"
"DB","sherwinWilliams","Sherwin Williams 45 Antiquarian Brown","","","#946644"
"DB","sherwinWilliams","Sherwin Williams 46 White Hyacinth","","","#F3E5D1"
"DB","sherwinWilliams","Sherwin Williams 47 Studio Blue Green","","","#6D817B"
"DB","sherwinWilliams","Sherwin Williams 48 Bunglehouse Blue","","","#47626F"
"DB","sherwinWilliams","Sherwin Williams 49 Silver Gray","","","#B8B2A2"
"DB","sherwinWilliams","Sherwin Williams 50 Classic Light Buff","","","#F0EADC"
"DB","sherwinWilliams","Sherwin Williams 51 Classic Ivory","","","#F2E0C3"
"DB","sherwinWilliams","Sherwin Williams 52 Pearl Gray","","","#CBCEC5"
"DB","sherwinWilliams","Sherwin Williams 53 Porcelain","","","#E9E0D5"
"DB","sherwinWilliams","Sherwin Williams 54 Twilight Gray","","","#C8BFB5"
"DB","sherwinWilliams","Sherwin Williams 55 Light French Gray","","","#C2C0BB"
"DB","sherwinWilliams","Sherwin Williams 56 Classic Sand","","","#D6BCAA"
"DB","sherwinWilliams","Sherwin Williams 57 Chinese Red","","","#9E3E33"
"DB","sherwinWilliams","Sherwin Williams 58 Jazz Age Coral","","","#F1BFB1"
"DB","sherwinWilliams","Sherwin Williams 59 Frostwork","","","#CBD0C2"
"DB","sherwinWilliams","Sherwin Williams 60 Alexandrite","","","#598C74"
"DB","sherwinWilliams","Sherwin Williams 61 Salon Rose","","","#AB7878"
"DB","sherwinWilliams","Sherwin Williams 62 Studio Mauve","","","#C6B9B8"
"DB","sherwinWilliams","Sherwin Williams 63 Blue Sky","","","#ABD1C9"
"DB","sherwinWilliams","Sherwin Williams 64 Blue Peacock","","","#014E4C"
"DB","sherwinWilliams","Sherwin Williams 65 Vogue Green","","","#4B5645"
"DB","sherwinWilliams","Sherwin Williams 66 Cascade Green","","","#ACB19F"
"DB","sherwinWilliams","Sherwin Williams 67 Belvedere Cream","","","#F0CDA0"
"DB","sherwinWilliams","Sherwin Williams 68 Copen Blue","","","#C2CCC4"
"DB","sherwinWilliams","Sherwin Williams 69 Rose Tan","","","#CD9C85"
"DB","sherwinWilliams","Sherwin Williams 70 Pink Shadow","","","#DEC3B9"
"DB","sherwinWilliams","Sherwin Williams 71 Orchid","","","#BC9C9E"
"DB","sherwinWilliams","Sherwin Williams 72 Deep Maroon","","","#623F45"
"DB","sherwinWilliams","Sherwin Williams 73 Chartreuse","","","#E1D286"
"DB","sherwinWilliams","Sherwin Williams 74 Radiant Lilac","","","#A489A0"
"DB","sherwinWilliams","Sherwin Williams 75 Holiday Turquoise","","","#8AC6BD"
"DB","sherwinWilliams","Sherwin Williams 76 Appleblossom","","","#DAB5B4"
"DB","sherwinWilliams","Sherwin Williams 77 Classic French Gray","","","#888782"
"DB","sherwinWilliams","Sherwin Williams 78 Sunbeam Yellow","","","#F0D39D"
"DB","sherwinWilliams","Sherwin Williams 79 Pinky Beige","","","#C9AA98"
"DB","sherwinWilliams","Sherwin Williams 80 Pink Flamingo","","","#CD717B"
"DB","sherwinWilliams","Sherwin Williams 1015 Skyline Steel","","","#C6BFB3"
"DB","sherwinWilliams","Sherwin Williams 1666 Venetian Yellow","","","#F6E3A1"
"DB","sherwinWilliams","Sherwin Williams 1667 Icy Lemonade","","","#F4E8B2"
"DB","sherwinWilliams","Sherwin Williams 1668 Pineapple Cream","","","#F2EAC3"
"DB","sherwinWilliams","Sherwin Williams 2704 Merlot","","","#51323B"
"DB","sherwinWilliams","Sherwin Williams 2735 Rockweed","","","#443735"
"DB","sherwinWilliams","Sherwin Williams 2739 Charcoal Blue","","","#3D4450"
"DB","sherwinWilliams","Sherwin Williams 2740 Mineral Gray","","","#515763"
"DB","sherwinWilliams","Sherwin Williams 2801 Rookwood Dark Red","","","#4B2929"
"DB","sherwinWilliams","Sherwin Williams 2802 Rookwood Red","","","#622F2D"
"DB","sherwinWilliams","Sherwin Williams 2803 Rookwood Terra Cotta","","","#975840"
"DB","sherwinWilliams","Sherwin Williams 2804 Renwick Rose Beige","","","#AF8871"
"DB","sherwinWilliams","Sherwin Williams 2805 Renwick Beige","","","#C3B09D"
"DB","sherwinWilliams","Sherwin Williams 2806 Rookwood Brown","","","#7F614A"
"DB","sherwinWilliams","Sherwin Williams 2807 Rookwood Medium Brown","","","#6E5241"
"DB","sherwinWilliams","Sherwin Williams 2808 Rookwood Dark Brown","","","#5F4D43"
"DB","sherwinWilliams","Sherwin Williams 2809 Rookwood Shutter Green","","","#303B39"
"DB","sherwinWilliams","Sherwin Williams 2810 Rookwood Sash Green","","","#506A67"
"DB","sherwinWilliams","Sherwin Williams 2811 Rookwood Blue Green","","","#738478"
"DB","sherwinWilliams","Sherwin Williams 2812 Rookwood Jade","","","#979F7F"
"DB","sherwinWilliams","Sherwin Williams 2813 Downing Straw","","","#CAAB7D"
"DB","sherwinWilliams","Sherwin Williams 2814 Rookwood Antique Gold","","","#A58258"
"DB","sherwinWilliams","Sherwin Williams 2815 Renwick Olive","","","#97896A"
"DB","sherwinWilliams","Sherwin Williams 2816 Rookwood Dark Green","","","#565C4A"
"DB","sherwinWilliams","Sherwin Williams 2817 Rookwood Amber","","","#C08650"
"DB","sherwinWilliams","Sherwin Williams 2818 Renwick Heather","","","#8B7D7B"
"DB","sherwinWilliams","Sherwin Williams 2819 Downing Slate","","","#777F86"
"DB","sherwinWilliams","Sherwin Williams 2820 Downing Earth","","","#887B67"
"DB","sherwinWilliams","Sherwin Williams 2821 Downing Stone","","","#A6A397"
"DB","sherwinWilliams","Sherwin Williams 2822 Downing Sand","","","#CBBCA5"
