Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,RGB_R,RGB_G,RGB_B,RGB,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CMYK,CIE_L,CIE_A,CIE_B,CIE_LAB,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,sherwinwilliams,Sherwin Williams 1 Mulberry Silk,#94766C,0.5918967520776758,0.04076703595123503,39.247365669997066,148,118,108,"[148, 118, 108]",0%,20%,27%,42%,"[0%, 20%, 27%, 42%]",52.38,10.94,10.21,"[52.38, 10.94, 10.21]",https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%201%20Mulberry%20Silk%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,sherwinwilliams,Sherwin Williams 2 Chelsea Mauve,#BEAC9F,0.7561763095757565,0.027782814304057917,58.16029403164822,190,172,159,"[190, 172, 159]",0%,9%,16%,25%,"[0%, 9%, 16%, 25%]",71.65,5.11,9.19,"[71.65, 5.11, 9.19]",https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%202%20Chelsea%20Mauve%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,sherwinwilliams,Sherwin Williams 3 Cabbage Rose,#C59F91,0.7333324305249653,0.0496123473499694,41.20477931975205,197,159,145,"[197, 159, 145]",0%,19%,26%,23%,"[0%, 19%, 26%, 23%]",68.75,12.97,12.94,"[68.75, 12.97, 12.94]",https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%203%20Cabbage%20Rose%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,sherwinwilliams,Sherwin Williams 4 Rose Brocade,#996C6E,0.5780335904557264,0.057719578265153504,16.061057070347488,153,108,110,"[153, 108, 110]",0%,29%,28%,40%,"[0%, 29%, 28%, 40%]",50.43,18.70,6.42,"[50.43, 18.70, 6.42]",https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%204%20Rose%20Brocade%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,sherwinwilliams,Sherwin Williams 5 Deepest Mauve,#6D595A,0.48426349953044173,0.026336290908271574,14.70959279905901,109,89,90,"[109, 89, 90]",0%,18%,17%,57%,"[0%, 18%, 17%, 57%]",39.89,8.58,2.66,"[39.89, 8.58, 2.66]",https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%205%20Deepest%20Mauve%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,sherwinwilliams,Sherwin Williams 6 Toile Red,#8B534E,0.5049761380523522,0.07587913675911202,25.573148760657602,139,83,78,"[139, 83, 78]",0%,40%,44%,45%,"[0%, 40%, 44%, 45%]",41.86,23.53,13.41,"[41.86, 23.53, 13.41]",https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%206%20Toile%20Red%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,sherwinwilliams,Sherwin Williams 7 Decorous Amber,#AC7559,0.612500788568059,0.08049907404353374,47.74174738118165,172,117,89,"[172, 117, 89]",0%,32%,48%,33%,"[0%, 32%, 48%, 33%]",54.59,19.86,24.64,"[54.59, 19.86, 24.64]",https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%207%20Decorous%20Amber%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,sherwinwilliams,Sherwin Williams 8 Cajun Red,#8D422F,0.47195343061766165,0.10685905841145235,35.3300677919467,141,66,47,"[141, 66, 47]",0%,53%,67%,45%,"[0%, 53%, 67%, 45%]",37.85,31.43,27.11,"[37.85, 31.43, 27.11]",https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%208%20Cajun%20Red%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,sherwinwilliams,Sherwin Williams 9 Eastlake Gold,#C28E61,0.6870510079824651,0.0875601136428375,61.45271879094139,194,142,97,"[194, 142, 97]",0%,27%,50%,24%,"[0%, 27%, 50%, 24%]",63.44,16.45,32.04,"[63.44, 16.45, 32.04]",https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%209%20Eastlake%20Gold%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,sherwinwilliams,Sherwin Williams 10 Wickerwork,#C19E80,0.72342101126275,0.05879918075148476,62.2880516131832,193,158,128,"[193, 158, 128]",0%,18%,34%,24%,"[0%, 18%, 34%, 24%]",67.79,10.22,20.86,"[67.79, 10.22, 20.86]",https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%2010%20Wickerwork%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
