Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,RGB_R,RGB_G,RGB_B,RGB,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CMYK,CIE_L,CIE_A,CIE_B,CIE_LAB,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,swisskrono,U190 Black,#1B1B1B,0.2221287433751307,0,0,27,27,27,"[27, 27, 27]",0%,0%,0%,89%,"[0%, 0%, 0%, 89%]",9.77,0.00,0.00,"[9.77, 0.00, 0.00]",https://www.google.com/search?tbm=isch&q=swissKrono%20U190%20Black%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,swisskrono,U112 White,#F1F1F1,0.9581468870268092,0,0,241,241,241,"[241, 241, 241]",0%,0%,0%,5%,"[0%, 0%, 0%, 5%]",95.15,0.00,-0.00,"[95.15, 0.00, -0.00]",https://www.google.com/search?tbm=isch&q=swissKrono%20U112%20White%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,swisskrono,U162 Light Grey,#D1D3D4,0.8655905902692748,0.0025975441914667455,228.78968517964472,209,211,212,"[209, 211, 212]",1%,0%,0%,17%,"[1%, 0%, 0%, 17%]",84.42,-0.57,-0.75,"[84.42, -0.57, -0.75]",https://www.google.com/search?tbm=isch&q=swissKrono%20U162%20Light%20Grey%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,swisskrono,U164 Anthracite,#4A4A4A,0.40912000401059884,0,0,74,74,74,"[74, 74, 74]",0%,0%,0%,71%,"[0%, 0%, 0%, 71%]",31.46,0.00,0.00,"[31.46, 0.00, 0.00]",https://www.google.com/search?tbm=isch&q=swissKrono%20U164%20Anthracite%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,swisskrono,U171 Slate Grey,#6D6E71,0.5383479201837856,0.004796430709065478,271.3253088220524,109,110,113,"[109, 110, 113]",4%,3%,0%,56%,"[4%, 3%, 0%, 56%]",46.42,0.07,-1.82,"[46.42, 0.07, -1.82]",https://www.google.com/search?tbm=isch&q=swissKrono%20U171%20Slate%20Grey%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,swisskrono,U511 Vanilla,#F3E5AB,0.9193431461503363,0.07598544100888256,96.15296275685836,243,229,171,"[243, 229, 171]",0%,6%,30%,5%,"[0%, 6%, 30%, 5%]",91.04,-1.40,30.20,"[91.04, -1.40, 30.20]",https://www.google.com/search?tbm=isch&q=swissKrono%20U511%20Vanilla%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,swisskrono,U129 Sun Yellow,#FFD700,0.8867710792703533,0.18218600954682918,95.33049475575058,255,215,0,"[255, 215, 0]",0%,16%,100%,0%,"[0%, 16%, 100%, 0%]",87.47,2.91,86.55,"[87.47, 2.91, 86.55]",https://www.google.com/search?tbm=isch&q=swissKrono%20U129%20Sun%20Yellow%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,swisskrono,U141 Orchid,#DA70D6,0.7021317858293759,0.18125824668618987,328.7056266062267,218,112,214,"[218, 112, 214]",0%,49%,2%,15%,"[0%, 49%, 2%, 15%]",62.75,52.45,-34.10,"[62.75, 52.45, -34.10]",https://www.google.com/search?tbm=isch&q=swissKrono%20U141%20Orchid%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,swisskrono,U125 Atoll Blue,#007FFF,0.6130818942209096,0.21196230374507846,256.3304072433061,0,127,255,"[0, 127, 255]",100%,50%,0%,0%,"[100%, 50%, 0%, 0%]",53.25,9.24,-73.01,"[53.25, 9.24, -73.01]",https://www.google.com/search?tbm=isch&q=swissKrono%20U125%20Atoll%20Blue%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,swisskrono,U153 Lime Green,#32CD32,0.7418744438806225,0.2286458084527591,142.83480877546646,50,205,50,"[50, 205, 50]",76%,0%,76%,20%,"[76%, 0%, 76%, 20%]",72.67,-61.87,60.06,"[72.67, -61.87, 60.06]",https://www.google.com/search?tbm=isch&q=swissKrono%20U153%20Lime%20Green%20color%20swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
