Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Tags,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,tafisa,PM115 Carte Blanche Lummia TFL,#f3f2ef,0.960542216276944,0.00387452026386402,89.6087773039564,https://tafisa.ca/en/our-colours/carte-blanche-0,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.651,0.761,0.825,0.851,0.863,0.874,0.881,0.882,0.882,0.882,0.884,0.884,0.884,0.883,0.882,0.88,0.88,0.885,0.891,0.897,0.898,0.897,0.896,0.895,0.893,0.895,0.894,0.892,0.892,0.893,0.894,"[0.651,0.761,0.825,0.851,0.863,0.874,0.881,0.882,0.882,0.882,0.884,0.884,0.884,0.883,0.882,0.88,0.88,0.885,0.891,0.897,0.898,0.897,0.896,0.895,0.893,0.895,0.894,0.892,0.892,0.893,0.894]"
DB,tafisa,PM100 Vanilla Orchid Lummia TFL,#eeece4,0.942900709408706,0.0107652029221021,98.1721262395784,https://tafisa.ca/en/our-colours/vanilla-orchid,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.573,0.675,0.738,0.765,0.779,0.791,0.8,0.804,0.807,0.812,0.82,0.828,0.833,0.836,0.838,0.837,0.839,0.846,0.851,0.854,0.852,0.85,0.85,0.849,0.846,0.848,0.846,0.845,0.845,0.846,0.846,"[0.573,0.675,0.738,0.765,0.779,0.791,0.8,0.804,0.807,0.812,0.82,0.828,0.833,0.836,0.838,0.837,0.839,0.846,0.851,0.854,0.852,0.85,0.85,0.849,0.846,0.848,0.846,0.845,0.845,0.846,0.846]"
DB,tafisa,PM775 Gardenia Lummia TFL,#f1eee1,0.948327349189886,0.0170683104497163,95.9874766327978,https://tafisa.ca/en/our-colours/gardenia-1,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.531,0.637,0.708,0.741,0.76,0.776,0.787,0.79,0.793,0.796,0.808,0.825,0.839,0.849,0.855,0.857,0.862,0.871,0.876,0.876,0.872,0.869,0.869,0.868,0.865,0.866,0.865,0.863,0.863,0.864,0.864,"[0.531,0.637,0.708,0.741,0.76,0.776,0.787,0.79,0.793,0.796,0.808,0.825,0.839,0.849,0.855,0.857,0.862,0.871,0.876,0.876,0.872,0.869,0.869,0.868,0.865,0.866,0.865,0.863,0.863,0.864,0.864]"
DB,tafisa,PM776 Cashmere Lummia TFL,#e4dfd6,0.905550638550811,0.0130151266118101,83.8182641467955,https://tafisa.ca/en/our-colours/cashmere-1,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.49,0.581,0.639,0.664,0.678,0.689,0.697,0.699,0.701,0.703,0.71,0.72,0.728,0.733,0.737,0.738,0.743,0.752,0.76,0.765,0.766,0.765,0.766,0.765,0.763,0.764,0.763,0.763,0.763,0.764,0.765,"[0.49,0.581,0.639,0.664,0.678,0.689,0.697,0.699,0.701,0.703,0.71,0.72,0.728,0.733,0.737,0.738,0.743,0.752,0.76,0.765,0.766,0.765,0.766,0.765,0.763,0.764,0.763,0.763,0.763,0.764,0.765]"
DB,tafisa,PM777 Winter Horizon Lummia TFL,#dededa,0.900252940575826,0.00548066526913435,114.16290215281,https://tafisa.ca/en/our-colours/winter-horizon,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.558,0.641,0.682,0.698,0.703,0.709,0.715,0.718,0.723,0.728,0.734,0.735,0.733,0.731,0.73,0.727,0.726,0.729,0.734,0.736,0.735,0.733,0.732,0.73,0.728,0.73,0.728,0.727,0.726,0.727,0.727,"[0.558,0.641,0.682,0.698,0.703,0.709,0.715,0.718,0.723,0.728,0.734,0.735,0.733,0.731,0.73,0.727,0.726,0.729,0.734,0.736,0.735,0.733,0.732,0.73,0.728,0.73,0.728,0.727,0.726,0.727,0.727]"
DB,tafisa,PM202 Summer Drops Lummia TFL,#c5c4bd,0.818989754783781,0.00989835710439754,98.9457191021022,https://tafisa.ca/en/our-colours/summer-drops-1,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.35,0.422,0.471,0.494,0.507,0.518,0.526,0.528,0.53,0.533,0.538,0.544,0.547,0.549,0.55,0.548,0.549,0.553,0.556,0.557,0.556,0.556,0.559,0.56,0.56,0.563,0.564,0.565,0.566,0.567,0.568,"[0.35,0.422,0.471,0.494,0.507,0.518,0.526,0.528,0.53,0.533,0.538,0.544,0.547,0.549,0.55,0.548,0.549,0.553,0.556,0.557,0.556,0.556,0.559,0.56,0.56,0.563,0.564,0.565,0.566,0.567,0.568]"
DB,tafisa,PM763 Morning Dew Lummia TFL,#cdc7bc,0.831939303023069,0.0162692871134555,85.2836308573727,https://tafisa.ca/en/our-colours/morning-dew-1,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.346,0.419,0.469,0.493,0.507,0.519,0.526,0.529,0.531,0.534,0.542,0.552,0.561,0.567,0.571,0.573,0.578,0.586,0.593,0.597,0.598,0.597,0.599,0.599,0.597,0.599,0.599,0.599,0.6,0.601,0.601,"[0.346,0.419,0.469,0.493,0.507,0.519,0.526,0.529,0.531,0.534,0.542,0.552,0.561,0.567,0.571,0.573,0.578,0.586,0.593,0.597,0.598,0.597,0.599,0.599,0.597,0.599,0.599,0.599,0.6,0.601,0.601]"
DB,tafisa,PM 771 North Wind Lummia TFL,#8c8982,0.630191703821319,0.0110800885858835,85.3348989869015,https://tafisa.ca/en/our-colours/north-wind-0,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.156,0.187,0.208,0.218,0.224,0.229,0.231,0.232,0.232,0.232,0.235,0.239,0.244,0.247,0.248,0.25,0.252,0.256,0.258,0.259,0.259,0.258,0.258,0.258,0.257,0.258,0.257,0.258,0.258,0.259,0.259,"[0.156,0.187,0.208,0.218,0.224,0.229,0.231,0.232,0.232,0.232,0.235,0.239,0.244,0.247,0.248,0.25,0.252,0.256,0.258,0.259,0.259,0.258,0.258,0.258,0.257,0.258,0.257,0.258,0.258,0.259,0.259]"
DB,tafisa,PM780 Terrarossa Lummia TFL,#a48271,0.634016065238847,0.049883971487343,47.4947590367129,https://tafisa.ca/en/our-colours/terrarossa,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.117,0.143,0.159,0.167,0.171,0.175,0.177,0.178,0.18,0.182,0.185,0.19,0.196,0.203,0.212,0.224,0.243,0.266,0.288,0.314,0.332,0.339,0.341,0.34,0.34,0.342,0.343,0.345,0.348,0.35,0.352,"[0.117,0.143,0.159,0.167,0.171,0.175,0.177,0.178,0.18,0.182,0.185,0.19,0.196,0.203,0.212,0.224,0.243,0.266,0.288,0.314,0.332,0.339,0.341,0.34,0.34,0.342,0.343,0.345,0.348,0.35,0.352]"
DB,tafisa,PM779 Sage Leaf Lummia TFL,#aaa48d,0.717617969468593,0.0330808892884556,95.9704791546041,https://tafisa.ca/en/our-colours/sage-leaf,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.162,0.205,0.239,0.257,0.27,0.28,0.288,0.294,0.299,0.307,0.321,0.339,0.354,0.366,0.372,0.376,0.383,0.391,0.393,0.39,0.385,0.384,0.387,0.389,0.388,0.39,0.39,0.39,0.39,0.39,0.39,"[0.162,0.205,0.239,0.257,0.27,0.28,0.288,0.294,0.299,0.307,0.321,0.339,0.354,0.366,0.372,0.376,0.383,0.391,0.393,0.39,0.385,0.384,0.387,0.389,0.388,0.39,0.39,0.39,0.39,0.39,0.39]"
