Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Tags,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,uniboard,K77 Dosha Omnia HPL,#aba090,0.710074275270032,0.0255540052485277,74.3438868418471,https://www.uniboard.com/en/panels/tfl-panels/dosha,https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/assets/Materials/Uniboard/Packages/Images%20Web/K77_Dosha_Dosha/K77_Dosha_Dosha_Omnia_12x6_85dpi.jpg&query=,Textured Laminate,,,,,,0.281,0.298,0.288,0.282,0.277,0.277,0.282,0.293,0.312,0.337,0.353,0.351,0.346,0.341,0.338,0.337,0.342,0.354,0.368,0.386,0.398,0.403,0.405,0.405,0.405,0.407,0.408,0.409,0.409,0.41,0.411,"[0.281,0.298,0.288,0.282,0.277,0.277,0.282,0.293,0.312,0.337,0.353,0.351,0.346,0.341,0.338,0.337,0.342,0.354,0.368,0.386,0.398,0.403,0.405,0.405,0.405,0.407,0.408,0.409,0.409,0.41,0.411]"
DB,uniboard,K85 Solace Supermat HPL,#807467,0.567116098543327,0.0245661617663996,70.5714205568722,https://www.uniboard.com/en/panels/tfl-hpl/solace,,Solid Laminate,D65,10,M1,2026-04-19,Nix Spectro L,0.0887,0.11,0.125,0.134,0.139,0.144,0.146,0.147,0.147,0.148,0.151,0.157,0.163,0.169,0.173,0.178,0.185,0.194,0.199,0.203,0.205,0.204,0.203,0.202,0.2,0.2,0.198,0.198,0.197,0.197,0.197,"[0.0887,0.11,0.125,0.134,0.139,0.144,0.146,0.147,0.147,0.148,0.151,0.157,0.163,0.169,0.173,0.178,0.185,0.194,0.199,0.203,0.205,0.204,0.203,0.202,0.2,0.2,0.198,0.198,0.197,0.197,0.197]"
DB,uniboard,K92 Nubuck Omnia HPL,#84776a,0.57644945408359,0.0249036446989285,66.7242912798488,https://www.uniboard.com/en/panels/tfl-hpl/nubuck,https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K92_Nubuck_Nubuck/image-thumb__42348__uniboard360x360/K92_Nubuck_Nubuck_Omnia_48x24_37dpi.png&query=,Textured Laminate,D65,10,M1,2026-04-19,Nix Spectro L,0.141,0.15,0.147,0.144,0.142,0.142,0.146,0.153,0.163,0.177,0.186,0.185,0.182,0.179,0.177,0.176,0.179,0.186,0.196,0.21,0.221,0.226,0.227,0.228,0.228,0.229,0.229,0.23,0.23,0.231,0.232,"[0.141,0.15,0.147,0.144,0.142,0.142,0.146,0.153,0.163,0.177,0.186,0.185,0.182,0.179,0.177,0.176,0.179,0.186,0.196,0.21,0.221,0.226,0.227,0.228,0.228,0.229,0.229,0.23,0.23,0.231,0.232]"
DB,uniboard,123 Charcoal Supermat HPL,#555452,0.445751564484618,0.00260501380844687,71.0280535733651,https://www.uniboard.com/en/panels/tfl-panels/charcoal,,Solid Laminate,D65,10,M1,2026-04-19,Nix Spectro L,0.0699,0.0793,0.0836,0.0853,0.0862,0.0867,0.0867,0.0863,0.086,0.0857,0.0862,0.087,0.0876,0.088,0.0882,0.0882,0.0883,0.0889,0.0896,0.0902,0.0902,0.09,0.09,0.0899,0.0898,0.0902,0.0903,0.0904,0.0905,0.0907,0.0908,"[0.0699,0.0793,0.0836,0.0853,0.0862,0.0867,0.0867,0.0863,0.086,0.0857,0.0862,0.087,0.0876,0.088,0.0882,0.0882,0.0883,0.0889,0.0896,0.0902,0.0902,0.09,0.09,0.0899,0.0898,0.0902,0.0903,0.0904,0.0905,0.0907,0.0908]"
DB,uniboard,805 Sunset Grey Supermat HPL,#c1bfbb,0.806158670559956,0.00629804380524442,90.6648073826302,https://www.uniboard.com/en/panels/tfl-panels/sunset-grey,,Solid Laminate,D65,10,M1,2026-04-19,Nix Spectro L,0.389,0.45,0.482,0.495,0.5,0.504,0.507,0.508,0.509,0.51,0.514,0.518,0.521,0.522,0.523,0.522,0.523,0.526,0.53,0.532,0.531,0.531,0.532,0.531,0.531,0.533,0.533,0.534,0.534,0.535,0.536,"[0.389,0.45,0.482,0.495,0.5,0.504,0.507,0.508,0.509,0.51,0.514,0.518,0.521,0.522,0.523,0.522,0.523,0.526,0.53,0.532,0.531,0.531,0.532,0.531,0.531,0.533,0.533,0.534,0.534,0.535,0.536]"
DB,uniboard,777 White Supermat TFL,#ececf2,0.944312813220157,0.00773103049604382,282.911526037007,https://www.uniboard.com/en/panels/tfl-panels/white-white,,Solid Laminate,D65,10,M1,2026-04-19,Nix Spectro L,0.565,0.699,0.812,0.868,0.89,0.899,0.904,0.899,0.888,0.876,0.867,0.858,0.849,0.841,0.836,0.828,0.823,0.824,0.83,0.838,0.843,0.846,0.849,0.85,0.849,0.853,0.852,0.851,0.85,0.85,0.849,"[0.565,0.699,0.812,0.868,0.89,0.899,0.904,0.899,0.888,0.876,0.867,0.858,0.849,0.841,0.836,0.828,0.823,0.824,0.83,0.838,0.843,0.846,0.849,0.85,0.849,0.853,0.852,0.851,0.85,0.85,0.849]"
DB,uniboard,L19 Putty  Supermat HPL,#b1a792,0.731645221159895,0.0316370471895468,85.5712610628588,https://www.uniboard.com/en/panels/tfl-panels/putty,,Solid Laminate,D65,10,M1,2026-04-19,Nix Spectro L,0.178,0.225,0.261,0.281,0.294,0.304,0.311,0.314,0.316,0.319,0.329,0.347,0.364,0.377,0.386,0.393,0.404,0.417,0.423,0.423,0.42,0.419,0.419,0.419,0.417,0.416,0.414,0.414,0.413,0.412,0.412,"[0.178,0.225,0.261,0.281,0.294,0.304,0.311,0.314,0.316,0.319,0.329,0.347,0.364,0.377,0.386,0.393,0.404,0.417,0.423,0.423,0.42,0.419,0.419,0.419,0.417,0.416,0.414,0.414,0.413,0.412,0.412]"
DB,uniboard,K45 Wave Blue Vellum HPL,#363d4f,0.361381182473341,0.0323983914606546,266.438799399439,https://www.uniboard.com/en/panels/tfl-panels/wave-blue,,Solid Laminate,D65,10,M1,2026-04-19,Nix Spectro L,0.0628,0.0712,0.0756,0.077,0.0773,0.077,0.0756,0.0735,0.0706,0.0666,0.0619,0.0565,0.0518,0.0484,0.0464,0.045,0.0432,0.042,0.0417,0.0416,0.0412,0.0407,0.0403,0.0402,0.0406,0.0413,0.0418,0.042,0.0418,0.0416,0.0413,"[0.0628,0.0712,0.0756,0.077,0.0773,0.077,0.0756,0.0735,0.0706,0.0666,0.0619,0.0565,0.0518,0.0484,0.0464,0.045,0.0432,0.042,0.0417,0.0416,0.0412,0.0407,0.0403,0.0402,0.0406,0.0413,0.0418,0.042,0.0418,0.0416,0.0413]"
DB,uniboard,K86 Serenity Supermat HPL,#798380,0.601235232046511,0.012538083218223,176.705327066567,https://www.uniboard.com/en/panels/tfl-hpl/serenity,,Solid Laminate,D65,10,M1,2026-04-19,Nix Spectro L,0.156,0.185,0.203,0.212,0.216,0.22,0.222,0.222,0.221,0.222,0.225,0.229,0.231,0.232,0.23,0.226,0.222,0.218,0.214,0.208,0.202,0.199,0.198,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.196,"[0.156,0.185,0.203,0.212,0.216,0.22,0.222,0.222,0.221,0.222,0.225,0.229,0.231,0.232,0.23,0.226,0.222,0.218,0.214,0.208,0.202,0.199,0.198,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.196]"
DB,uniboard,K81 Adobe Supermat HPL,#cf8765,0.690738864102698,0.100903323595685,45.7983660598682,https://www.uniboard.com/en/panels/tfl-panels/adobe,,Solid Laminate,D65,10,M1,2026-04-19,Nix Spectro L,0.144,0.16,0.158,0.154,0.15,0.147,0.147,0.148,0.154,0.163,0.172,0.179,0.191,0.205,0.223,0.25,0.291,0.34,0.393,0.462,0.517,0.545,0.557,0.562,0.565,0.571,0.576,0.58,0.584,0.588,0.591,"[0.144,0.16,0.158,0.154,0.15,0.147,0.147,0.148,0.154,0.163,0.172,0.179,0.191,0.205,0.223,0.25,0.291,0.34,0.393,0.462,0.517,0.545,0.557,0.562,0.565,0.571,0.576,0.58,0.584,0.588,0.591]"
