Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","dulux","Dulux/Dutch DCP-0004 Child of Heaven","","","#f0ece1"
"DB","dulux","Dulux/Dutch DCP-0251 Alchemy","","","#eed9ba"
"DB","dulux","Dulux/Dutch DCP-1001 Cheddar Corn","","","#f5dbc2"
"DB","dulux","Dulux/Dutch DCP-1057 Pink Satin","","","#f4d0c2"
"DB","dulux","Dulux/Dutch DCP-1009 Bedtime Story","","","#e3bea4"
"DB","dulux","Dulux/Dutch DCP-0030 Lady Nicole","","","#ddddd5"
"DB","dulux","Dulux/Dutch DCP-0749 Perspective","","","#c8d4be"
"DB","dulux","Dulux/Dutch DCP-0755 Creamy Mint","","","#d4e2c8"
"DB","dulux","Dulux/Dutch DCP-0772 Wonder Woods","","","#b9d696"
"DB","dulux","Dulux/Dutch DCP-0759 Perrenial Garden","","","#9ab68e"
"DB","dulux","Dulux/Dutch DCP-1308 Stardust Ballroom","","","#e0d7dc"
"DB","dulux","Dulux/Dutch DCP-1309 So Dainty","","","#d4cad3"
"DB","dulux","Dulux/Dutch DCP-1315 Calamities","","","#cdcdd5"
"DB","dulux","Dulux/Dutch DCP-1316 Savoy","","","#c8c8d0"
"DB","dulux","Dulux/Dutch DCP-1318 Dusky Mood","","","#a6acb8"
"DB","dulux","Dulux/Dutch DCP-0018 Dove White","","","#e9e6df"
"DB","dulux","Dulux/Dutch DCP-0371 Florito","","","#c9cbbe"
"DB","dulux","Dulux/Dutch DCP-0218 Drifting Sand","","","#b6b2a9"
"DB","dulux","Dulux/Dutch DCP-0219 Camel's Hump","","","#989187"
"DB","dulux","Dulux/Dutch DCP-0134 Baby Sprout","","","#b6a39c"
"DB","dulux","Dulux/Dutch DCP-0468 Mellow Blue","","","#dde8e2"
"DB","dulux","Dulux/Dutch DCP-0456 Fair Maiden","","","#b3c3b9"
"DB","dulux","Dulux/Dutch DCP-0594 Simply Sparkling","","","#bccee6"
"DB","dulux","Dulux/Dutch DCP-0617 John's Blue","","","#97b2cd"
"DB","dulux","Dulux/Dutch DCP-0589 Celestial Horizon","","","#8fa4bf"
"DB","dulux","Dulux/Dutch DCP-0005 Kiara","","","#f2ecde"
"DB","dulux","Dulux/Dutch DCP-0888 Golden Weave","","","#e9dec8"
"DB","dulux","Dulux/Dutch DCP-0323 Star of Gold","","","#c5ba9a"
"DB","dulux","Dulux/Dutch DCP-0281 Olive Gold","","","#c7bba3"
"DB","dulux","Dulux/Dutch DCP-0261 Tan Hide","","","#b29b79"
"DB","dulux","Dulux/Dutch 7473 Spanish Red","","","#732318"
"DB","dulux","Dulux/Dutch 7455 Baguio Green","","","#015b41"
"DB","dulux","Dulux/Dutch 7472 Terra Cotta","","","#864326"
"DB","dulux","Dulux/Dutch 7476 Brick Orange","","","#c27654"
"DB","dulux","Dulux/Dutch 7447 Delft Blue","","","#003b67"
"DB","dulux","Dulux/Dutch 7411 Laguna White","","","#c8cdc9"
"DB","dulux","Dulux/Dutch 7425 Sierra Beige","","","#a99e80"
"DB","dulux","Dulux/Dutch D-6722 Ivory White","","","#eec784"
"DB","dulux","Dulux/Dutch D-6730 Silver Gray","","","#857f69"
"DB","dulux","Dulux/Dutch D-6740 Royal Blue","","","#1d375c"
"DB","dulux","Dulux/Dutch D-6742 Sky Blue","","","#7ac2d8"
"DB","dulux","Dulux/Dutch D-6743 Ocean Blue","","","#4c6a74"
"DB","dulux","Dulux/Dutch D-6771 International Red","","","#9d0b1e"
"DB","dulux","Dulux/Dutch D-6782 Dark Chocolate","","","#392a27"
"DB","dulux","Dulux/Dutch D-6784 Maple","","","#7d5436"
"DB","dulux","Dulux/Dutch D-6756 Jade Green","","","#1e6a43"
"DB","dulux","Dulux/Dutch D-6761 Lemon Yellow","","","#ffc700"
"DB","dulux","Dulux/Dutch D-6765 Caterpillar Yellow","","","#af7c20"
"DB","dulux","Dulux/Dutch D-6753 Grass Green","","","#317455"
"DB","dulux","Dulux/Dutch D-6751 Dark Green","","","#214136"
"DB","dulux","Dulux/Dutch D-6776 Orange","","","#de4a00"
"DB","dulux","Dulux/Dutch D-6773 Maroon","","","#4f2318"
"DB","dulux","Dulux/Dutch D-6783 Caramel Brown","","","#8d5033"
"DB","dulux","Dulux/Dutch VS-9101 Tulle White","","","#f8f8ec"
"DB","dulux","Dulux/Dutch VS-9102 Winter Morning","","","#fef4eb"
"DB","dulux","Dulux/Dutch VS-9110 Bora Sand","","","#fef4eb"
"DB","dulux","Dulux/Dutch VS-9112 Light Silver","","","#ffeee7"
"DB","dulux","Dulux/Dutch VS-9132 Grey Castle","","","#fcefe9"
"DB","dulux","Dulux/Dutch VS-9118 Angel’s Wing","","","#f6dfc0"
"DB","dulux","Dulux/Dutch VS-9113 Ice","","","#f6dfad"
"DB","dulux","Dulux/Dutch VS-9114 Apricot White","","","#f4d6a2"
"DB","dulux","Dulux/Dutch VS-9115 Nicole","","","#ebd9c3"
"DB","dulux","Dulux/Dutch VS-9120 Bridal Whites","","","#f3d3ad"
"DB","dulux","Dulux/Dutch VS-9119 Lace","","","#fdddac"
"DB","dulux","Dulux/Dutch VS-9221 Toasted Beige","","","#ecce98"
