Type,Adjective,Noun,ERP_Code,Note,HEX
"Spectral","egger","U999 Black","","","0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1"
"DB","egger","W1000 Premium White","","","#f2f2f2"
"DB","egger","H3131 Davos Oak Natural","","","#B89B78"
"DB","egger","H1180 Halifax Oak Natural","","","#A88B68"
"DB","egger","U708 Light Grey","","","#D3D4D5"
"DB","egger","U732 Dust Grey","","","#7A7B7D"
"DB","egger","U961 Graphite Grey","","","#444547"
"DB","egger","U727 Stone Grey","","","#9A9690"
"DB","egger","W980 Platinum White","","","#F4F4F4"
"DB","egger","U156 Sand Beige","","","#E6D9C6"
