Type,Adjective,Noun,ERP_Code,Note,HEX,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm
DB,uniboard,113 Super White,https://www.uniboard.com/en/panels/tfl-panels/super-white,https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/113_Super%20Blanc_Super%20White/image-thumb__35962__uniboard360x360/113_Super%20Blanc_Super%20White_Dolomite_48x24_37dpi.png&query=,#F9F9F9,5.86E-01,6.85E-01,7.42E-01,7.69E-01,7.85E-01,7.97E-01,8.05E-01,8.09E-01,8.12E-01,8.17E-01,8.25E-01,8.32E-01,8.37E-01,8.40E-01,8.41E-01,8.38E-01,8.39E-01,8.44E-01,8.47E-01,8.46E-01,8.41E-01,8.38E-01,8.38E-01,8.37E-01,8.35E-01,8.36E-01,8.35E-01,8.34E-01,8.33E-01,8.32E-01,8.32E-01
DB,uniboard,123 Charcoal,https://www.uniboard.com/en/panels/tfl-panels/charcoal,https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/123_Charbon_Charcoal/image-thumb__35966__uniboard360x360/123_Charbon_Charcoal_Dolomite_48x24_37dpi.png&query=,#3A3C39,6.30E-02,7.01E-02,7.25E-02,7.36E-02,7.38E-02,7.39E-02,7.37E-02,7.30E-02,7.25E-02,7.20E-02,7.17E-02,7.16E-02,7.15E-02,7.16E-02,7.17E-02,7.19E-02,7.24E-02,7.32E-02,7.39E-02,7.44E-02,7.42E-02,7.34E-02,7.27E-02,7.22E-02,7.16E-02,7.14E-02,7.08E-02,7.02E-02,6.96E-02,6.91E-02,6.86E-02
DB,uniboard,168 Canadian Grey,https://www.uniboard.com/en/panels/tfl-panels/canadian-grey,https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/168_Gris%20Canadien_Canadian%20Grey/image-thumb__35975__uniboard360x360/168_Gris%20Canadien_Canadian%20Grey_Dolomite_48x24_37dpi.png&query=,#C7C9C6,2.39E-01,2.79E-01,3.01E-01,3.11E-01,3.17E-01,3.21E-01,3.24E-01,3.24E-01,3.25E-01,3.27E-01,3.30E-01,3.35E-01,3.38E-01,3.40E-01,3.42E-01,3.42E-01,3.43E-01,3.46E-01,3.48E-01,3.46E-01,3.44E-01,3.43E-01,3.44E-01,3.44E-01,3.44E-01,3.46E-01,3.47E-01,3.47E-01,3.47E-01,3.48E-01,3.48E-01
DB,uniboard,204 Bourbon Cherry,https://www.uniboard.com/en/panels/tfl-panels/bourbon-cherry,https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/204_Cerisier%20Bourbon_Bourbon%20Cherry/image-thumb__35979__uniboard360x360/204_Cerisier%20Bourbon_Bourbon%20Cherry_Dolomite_48x24_37dpi.png&query=,#693F2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,uniboard,205 Tobacco Cherry,https://www.uniboard.com/en/panels/tfl-panels/tobacco-cherry,https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/205_Cerisier%20Tabac_Tobacco%20Cherry/image-thumb__35984__uniboard360x360/205_Cerisier%20Tabac_Tobacco%20Cherry_Dolomite_48x24_37dpi.png&query=,#915629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,uniboard,206 Crema Cherry,https://www.uniboard.com/en/panels/tfl-panels/crema-cherry,https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/206_Cerisier%20Crema_Crema%20Cherry/image-thumb__35989__uniboard360x360/206_Cerisier%20Crema_Crema%20Cherry_Dolomite_48x24_37dpi.png&query=,#D8B77C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,uniboard,207 Choco Cherry,https://www.uniboard.com/en/panels/tfl-panels/choco-cherry,https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/207_Cerisier%20Choco_Choco%20Cherry/image-thumb__35995__uniboard360x360/207_Cerisier%20Choco_Choco%20Cherry_Dolomite_48x24_37dpi.png&query=,#57361B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,uniboard,241 Audacity,https://www.uniboard.com/en/panels/tfl-panels/audacity,https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/241_Audace_Audacity/image-thumb__36004__uniboard360x360/241_Audace_Audacity_Dolomite_48x24_37dpi.png&query=,#393834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,uniboard,262 Sunrise Maple,https://www.uniboard.com/en/panels/tfl-panels/sunrise-maple,https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/262_%C3%89rable%20Lever%20de%20Soleil_Sunrise%20Maple/image-thumb__35958__uniboard360x360/262_%C3%89rable%20Lever%20de%20Soleil_Sunrise%20Maple_Dolomite_48x24_37dpi.png&query=,#A67146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,uniboard,263 Sunset Maple,https://www.uniboard.com/en/panels/tfl-panels/sunset-maple,https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/263_%C3%89rable%20Coucher%20de%20Soleil_Sunset%20Maple/image-thumb__36008__uniboard360x360/263_%C3%89rable%20Coucher%20de%20Soleil_Sunset%20Maple_Dolomite_48x24_37dpi.png&query=,#723617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
