Type,Adjective,Noun,ERP_Code,Note,HEX
DB,sherwinWilliams,Sherwin Williams 1 Mulberry Silk,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%201%20Mulberry%20Silk%20color%20swatch,https://placehold.co/400x400/94766C/ffffff.png?text=Sherwin%20Williams%201%20Mulberry%20Silk,#94766C
DB,sherwinWilliams,Sherwin Williams 2 Chelsea Mauve,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%202%20Chelsea%20Mauve%20color%20swatch,https://placehold.co/400x400/BEAC9F/ffffff.png?text=Sherwin%20Williams%202%20Chelsea%20Mauve,#BEAC9F
DB,sherwinWilliams,Sherwin Williams 3 Cabbage Rose,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%203%20Cabbage%20Rose%20color%20swatch,https://placehold.co/400x400/C59F91/ffffff.png?text=Sherwin%20Williams%203%20Cabbage%20Rose,#C59F91
DB,sherwinWilliams,Sherwin Williams 4 Rose Brocade,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%204%20Rose%20Brocade%20color%20swatch,https://placehold.co/400x400/996C6E/ffffff.png?text=Sherwin%20Williams%204%20Rose%20Brocade,#996C6E
DB,sherwinWilliams,Sherwin Williams 5 Deepest Mauve,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%205%20Deepest%20Mauve%20color%20swatch,https://placehold.co/400x400/6D595A/ffffff.png?text=Sherwin%20Williams%205%20Deepest%20Mauve,#6D595A
DB,sherwinWilliams,Sherwin Williams 6 Toile Red,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%206%20Toile%20Red%20color%20swatch,https://placehold.co/400x400/8B534E/ffffff.png?text=Sherwin%20Williams%206%20Toile%20Red,#8B534E
DB,sherwinWilliams,Sherwin Williams 7 Decorous Amber,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%207%20Decorous%20Amber%20color%20swatch,https://placehold.co/400x400/AC7559/ffffff.png?text=Sherwin%20Williams%207%20Decorous%20Amber,#AC7559
DB,sherwinWilliams,Sherwin Williams 8 Cajun Red,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%208%20Cajun%20Red%20color%20swatch,https://placehold.co/400x400/8D422F/ffffff.png?text=Sherwin%20Williams%208%20Cajun%20Red,#8D422F
DB,sherwinWilliams,Sherwin Williams 9 Eastlake Gold,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%209%20Eastlake%20Gold%20color%20swatch,https://placehold.co/400x400/C28E61/ffffff.png?text=Sherwin%20Williams%209%20Eastlake%20Gold,#C28E61
DB,sherwinWilliams,Sherwin Williams 10 Wickerwork,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%2010%20Wickerwork%20color%20swatch,https://placehold.co/400x400/C19E80/ffffff.png?text=Sherwin%20Williams%2010%20Wickerwork,#C19E80
DB,sherwinWilliams,Sherwin Williams 11 Crewel Tan,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%2011%20Crewel%20Tan%20color%20swatch,https://placehold.co/400x400/CBB99B/ffffff.png?text=Sherwin%20Williams%2011%20Crewel%20Tan,#CBB99B
DB,sherwinWilliams,Sherwin Williams 12 Empire Gold,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%2012%20Empire%20Gold%20color%20swatch,https://placehold.co/400x400/C19F6E/ffffff.png?text=Sherwin%20Williams%2012%20Empire%20Gold,#C19F6E
DB,sherwinWilliams,Sherwin Williams 13 Majolica Green,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%2013%20Majolica%20Green%20color%20swatch,https://placehold.co/400x400/AEB08F/ffffff.png?text=Sherwin%20Williams%2013%20Majolica%20Green,#AEB08F
DB,sherwinWilliams,Sherwin Williams 14 Sheraton Sage,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%2014%20Sheraton%20Sage%20color%20swatch,https://placehold.co/400x400/8F8666/ffffff.png?text=Sherwin%20Williams%2014%20Sheraton%20Sage,#8F8666
DB,sherwinWilliams,Sherwin Williams 15 Gallery Green,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%2015%20Gallery%20Green%20color%20swatch,https://placehold.co/400x400/708672/ffffff.png?text=Sherwin%20Williams%2015%20Gallery%20Green,#708672
DB,sherwinWilliams,Sherwin Williams 16 Billiard Green,https://www.google.com/search?tbm=isch&q=sherwinWilliams%20Sherwin%20Williams%2016%20Billiard%20Green%20color%20swatch,https://placehold.co/400x400/45584D/ffffff.png?text=Sherwin%20Williams%2016%20Billiard%20Green,#45584D
