Type,Adjective,Noun,ERP_Code,Note,HEX
DB,ncs,NCS 0300-N,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200300-N%20color%20swatch,https://placehold.co/400x400/f7f7f7/ffffff.png?text=NCS%200300-N,#f7f7f7
DB,ncs,NCS 0500-N,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200500-N%20color%20swatch,https://placehold.co/400x400/f2f2f2/ffffff.png?text=NCS%200500-N,#f2f2f2
DB,ncs,NCS 0502-B,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-B%20color%20swatch,https://placehold.co/400x400/f5fbff/ffffff.png?text=NCS%200502-B,#f5fbff
DB,ncs,NCS 0502-B50G,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-B50G%20color%20swatch,https://placehold.co/400x400/f7fffe/ffffff.png?text=NCS%200502-B50G,#f7fffe
DB,ncs,NCS 0502-G,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-G%20color%20swatch,https://placehold.co/400x400/f4fff8/ffffff.png?text=NCS%200502-G,#f4fff8
DB,ncs,NCS 0502-G50Y,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-G50Y%20color%20swatch,https://placehold.co/400x400/fdfff6/ffffff.png?text=NCS%200502-G50Y,#fdfff6
DB,ncs,NCS 0502-R,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-R%20color%20swatch,https://placehold.co/400x400/fff1f2/ffffff.png?text=NCS%200502-R,#fff1f2
DB,ncs,NCS 0502-R50B,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-R50B%20color%20swatch,https://placehold.co/400x400/fef6fd/ffffff.png?text=NCS%200502-R50B,#fef6fd
DB,ncs,NCS 0502-Y,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-Y%20color%20swatch,https://placehold.co/400x400/fffdf6/ffffff.png?text=NCS%200502-Y,#fffdf6
DB,ncs,NCS 0502-Y50R,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200502-Y50R%20color%20swatch,https://placehold.co/400x400/fef8f4/ffffff.png?text=NCS%200502-Y50R,#fef8f4
DB,ncs,NCS 0505-B,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200505-B%20color%20swatch,https://placehold.co/400x400/e8f6fe/ffffff.png?text=NCS%200505-B,#e8f6fe
DB,ncs,NCS 0505-B20G,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200505-B20G%20color%20swatch,https://placehold.co/400x400/eafbff/ffffff.png?text=NCS%200505-B20G,#eafbff
DB,ncs,NCS 0505-B50G,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200505-B50G%20color%20swatch,https://placehold.co/400x400/ecfffe/ffffff.png?text=NCS%200505-B50G,#ecfffe
DB,ncs,NCS 0505-B80G,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200505-B80G%20color%20swatch,https://placehold.co/400x400/eafffa/ffffff.png?text=NCS%200505-B80G,#eafffa
DB,ncs,NCS 0505-G,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200505-G%20color%20swatch,https://placehold.co/400x400/e4ffef/ffffff.png?text=NCS%200505-G,#e4ffef
DB,ncs,NCS 0505-G10Y,https://www.google.com/search?tbm=isch&q=ncs%20NCS%200505-G10Y%20color%20swatch,https://placehold.co/400x400/ecffec/ffffff.png?text=NCS%200505-G10Y,#ecffec
