Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","swissKrono","U190 Black","","","#1B1B1B"
"DB","swissKrono","U112 White","","","#F1F1F1"
"DB","swissKrono","U162 Light Grey","","","#D1D3D4"
"DB","swissKrono","U164 Anthracite","","","#4A4A4A"
"DB","swissKrono","U171 Slate Grey","","","#6D6E71"
"DB","swissKrono","U511 Vanilla","","","#F3E5AB"
"DB","swissKrono","U129 Sun Yellow","","","#FFD700"
"DB","swissKrono","U141 Orchid","","","#DA70D6"
"DB","swissKrono","U125 Atoll Blue","","","#007FFF"
"DB","swissKrono","U153 Lime Green","","","#32CD32"
