Type,Adjective,Noun,ERP_Code,Note,HEX
DB,swissKrono,U190 Black,https://www.google.com/search?tbm=isch&q=swissKrono%20U190%20Black%20color%20swatch,https://placehold.co/400x400/1B1B1B/ffffff.png?text=U190%20Black,#1B1B1B
DB,swissKrono,U112 White,https://www.google.com/search?tbm=isch&q=swissKrono%20U112%20White%20color%20swatch,https://placehold.co/400x400/F1F1F1/ffffff.png?text=U112%20White,#F1F1F1
DB,swissKrono,U162 Light Grey,https://www.google.com/search?tbm=isch&q=swissKrono%20U162%20Light%20Grey%20color%20swatch,https://placehold.co/400x400/D1D3D4/ffffff.png?text=U162%20Light%20Grey,#D1D3D4
DB,swissKrono,U164 Anthracite,https://www.google.com/search?tbm=isch&q=swissKrono%20U164%20Anthracite%20color%20swatch,https://placehold.co/400x400/4A4A4A/ffffff.png?text=U164%20Anthracite,#4A4A4A
DB,swissKrono,U171 Slate Grey,https://www.google.com/search?tbm=isch&q=swissKrono%20U171%20Slate%20Grey%20color%20swatch,https://placehold.co/400x400/6D6E71/ffffff.png?text=U171%20Slate%20Grey,#6D6E71
DB,swissKrono,U511 Vanilla,https://www.google.com/search?tbm=isch&q=swissKrono%20U511%20Vanilla%20color%20swatch,https://placehold.co/400x400/F3E5AB/ffffff.png?text=U511%20Vanilla,#F3E5AB
DB,swissKrono,U129 Sun Yellow,https://www.google.com/search?tbm=isch&q=swissKrono%20U129%20Sun%20Yellow%20color%20swatch,https://placehold.co/400x400/FFD700/ffffff.png?text=U129%20Sun%20Yellow,#FFD700
DB,swissKrono,U141 Orchid,https://www.google.com/search?tbm=isch&q=swissKrono%20U141%20Orchid%20color%20swatch,https://placehold.co/400x400/DA70D6/ffffff.png?text=U141%20Orchid,#DA70D6
DB,swissKrono,U125 Atoll Blue,https://www.google.com/search?tbm=isch&q=swissKrono%20U125%20Atoll%20Blue%20color%20swatch,https://placehold.co/400x400/007FFF/ffffff.png?text=U125%20Atoll%20Blue,#007FFF
DB,swissKrono,U153 Lime Green,https://www.google.com/search?tbm=isch&q=swissKrono%20U153%20Lime%20Green%20color%20swatch,https://placehold.co/400x400/32CD32/ffffff.png?text=U153%20Lime%20Green,#32CD32
