Type;Adjective;Device;Noun;Date;Illuminant;Observer;Method;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
DB;Arborite;Nix Spectro L;Inukshuk Carbon;2026-04-15T18:30:27.943Z;D50;2;M2;0.0483964354;0.0535843708;0.0548796773;0.0553627074;0.0553604409;0.0553786874;0.0554015025;0.0553608954;0.0556431264;0.0562753089;0.0568667598;0.0569642194;0.0569349833;0.0568383478;0.0567429371;0.0566852458;0.0568710931;0.0575274877;0.0583754435;0.0593300141;0.0599412084;0.0602678008;0.0605403967;0.0606929444;0.0609585628;0.0617171235;0.0623161577;0.063052281;0.0638278745;0.0645809077;0.0652052805
DB;Arborite;Nix Spectro L;Inukshuk Grey P344;2026-04-15T18:34:18.229Z;D50;2;M2;0.16719113;0.196273398;0.212848788;0.221063563;0.226178446;0.230235943;0.232968807;0.234366161;0.236058053;0.238896737;0.242884997;0.247061554;0.250584605;0.253228009;0.255191335;0.256780225;0.260354519;0.265903741;0.270711279;0.274944913;0.27707811;0.278068161;0.279208785;0.279401666;0.279071134;0.280183148;0.280346215;0.28069554;0.281018257;0.28144688;0.281742549
DB;Frendel;Nix Spectro L;Maple Cashew CL;2026-03-02T22:54:09.150Z;D50;2;M2;0.0577017747;0.0853518575;0.104300623;0.11470779;0.122684626;0.130333652;0.138567826;0.147442284;0.160381785;0.182655135;0.21315186;0.244149238;0.266150361;0.279622406;0.284821808;0.285750353;0.292459774;0.30869199;0.336071056;0.383635068;0.426186097;0.457033205;0.479505616;0.492015451;0.500991535;0.513404834;0.523910522;0.533722305;0.541245711;0.547871709;0.552825606
DB;Frendel;Nix Spectro L;Maple Chocolate CL;2026-03-02T22:46:28.278Z;D50;2;M2;0.0295642309;0.0359732728;0.0388622038;0.040324574;0.041197253;0.0421236604;0.0433891416;0.0449466765;0.0476423375;0.052509141;0.0583250791;0.0627912909;0.0652751453;0.0664472848;0.0665127859;0.0661595702;0.0673834503;0.0714897141;0.0791601256;0.0924373686;0.104280365;0.112661593;0.118608326;0.122123851;0.125060703;0.129161015;0.132814839;0.136154704;0.138700013;0.14093857;0.142587003
DB;Frendel;Nix Spectro L;Maple Oyster CL;2026-03-02T22:50:31.513Z;D50;2;M2;0.0878682211;0.104233243;0.113207257;0.117706871;0.120521669;0.122945106;0.125091004;0.126914798;0.129628246;0.134231433;0.139686447;0.144069985;0.146841392;0.14842616;0.149035329;0.149186575;0.151134869;0.155640826;0.161685652;0.170379969;0.177690125;0.183227351;0.187809741;0.190480325;0.192614239;0.196180448;0.199164003;0.202059424;0.204388979;0.206508425;0.208108672
DB;Frendel;Nix Spectro L;Maple Poppy Seed CL;2026-03-02T23:00:25.185Z;D50;2;M2;0.0185121005;0.0211208478;0.0223177452;0.0231272936;0.0236154102;0.0239285026;0.0241342187;0.0242199562;0.0244426385;0.0249394327;0.0253960956;0.0254388113;0.0253413159;0.0251917653;0.0249525454;0.02478524;0.0249320898;0.025564681;0.0264666431;0.0277617794;0.0289442953;0.0300437588;0.0310937144;0.0318089046;0.0325228292;0.0336029492;0.0346227724;0.0356666666;0.0365616508;0.0373655707;0.0379766822
DB;Frendel;Nix Spectro L;Maple Shale Grey CL;2026-03-02T22:57:50.169Z;D50;2;M2;0.0687974021;0.0764900073;0.078465271;0.0791373491;0.0791428268;0.0792647183;0.0795080513;0.0797808796;0.0807095766;0.0825962543;0.0848453447;0.0863564998;0.0871437058;0.0874316171;0.087405166;0.0871753424;0.0874621511;0.0888000384;0.0907910928;0.0935159385;0.0955949381;0.0970234886;0.0982536077;0.0989468247;0.0995311975;0.100808467;0.101706436;0.10248955;0.10302134;0.103531969;0.103869146
DB;Frendel;Nix Spectro L;Oak Porcini CL;2026-03-02T22:43:49.074Z;D50;2;M2;0.0514405817;0.06162984;0.065486227;0.0669319972;0.0674656376;0.0683364928;0.0699244499;0.072109279;0.0762183532;0.0840137392;0.0941169903;0.102772705;0.107870749;0.110385342;0.110741277;0.109923917;0.111134332;0.116761854;0.128471595;0.149462175;0.168393725;0.181944123;0.191587961;0.197338533;0.202269256;0.209161362;0.215399623;0.221242547;0.225928259;0.230094683;0.233284864
DB;Living arts;Nix Spectro L;2SV.D36 AL Eurowood;2026-03-10T18:13:18.917Z;D50;2;M2;0.30678826;0.333816504;0.333763784;0.332484996;0.331460357;0.334885436;0.34372561;0.35709855;0.377873164;0.405061555;0.42186473;0.420225209;0.414512587;0.409082007;0.405735254;0.404674;0.410732335;0.424637306;0.441482574;0.46307053;0.478396374;0.484393644;0.485799897;0.485106093;0.483865398;0.485217261;0.484763771;0.484752452;0.485248166;0.486146796;0.487040383
DB;Living arts;Nix Spectro L;2SV.D58 Light Tone;2026-03-10T18:11:02.296Z;D50;2;M2;0.370279145;0.407724971;0.413602996;0.415321475;0.416318071;0.421558642;0.431927347;0.44648928;0.468603396;0.49732182;0.515259612;0.514196432;0.508877349;0.503648853;0.5003667;0.499083912;0.505252051;0.519283032;0.534601057;0.552278996;0.563911915;0.568028724;0.569024694;0.568033981;0.566290963;0.567402828;0.566413975;0.565961242;0.566117764;0.566777623;0.567504609
DB;Living arts;Nix Spectro L;2SV.DV9 AL Eurowood;2026-03-10T18:09:28.349Z;D50;2;M2;0.272893482;0.290601736;0.281621492;0.275283173;0.270880941;0.27304484;0.283260816;0.300264418;0.327574015;0.365613198;0.394506198;0.401296616;0.398681861;0.392833972;0.386199498;0.379358906;0.379643983;0.392067534;0.41768257;0.460748464;0.493516684;0.505629545;0.506263703;0.504227531;0.502230811;0.5034908;0.503222895;0.503917533;0.505540639;0.50744682;0.509109724
